# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm2d/02_W_SALINAS_2Dextn_PWD_sublyrs_Er3
# Data Access:	Total
# Event:	Event_21
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	06_MOHN
# Overlay:	Layer Thickness
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1816757.0000000000     573932.0000000000        -89.4796752930       1168.9837646484
    1816609.0000000000     573957.1250000000       -106.2760925293       1123.0045166016
    1816461.0000000000     573982.2500000000       -123.0723648071       1077.0209960938
    1816313.0000000000     574007.3750000000       -144.7732543945       1054.7296142578
    1816164.8750000000     574032.5000000000       -166.5579376221       1032.8417968750
    1816016.8750000000     574057.5625000000       -192.3842315674       1055.4110107422
    1815868.8750000000     574082.6875000000       -218.4055633545       1098.9171142578
    1815720.8750000000     574107.8125000000       -247.0245819092       1172.2182617188
    1815572.8750000000     574132.9375000000       -275.8578186035       1285.2214355469
    1815424.7500000000     574158.0625000000       -304.6910095215       1446.2960205078
    1815276.7500000000     574183.1875000000       -331.3439025879       1597.0854492188
    1815128.7500000000     574208.3125000000       -357.6979980469       1787.3953857422
    1814980.7500000000     574233.3750000000       -364.3756713867       1798.3878173828
    1814832.7500000000     574258.5000000000       -367.5874328613       1776.6451416016
    1814684.7500000000     574283.6250000000       -364.1236877441       1733.5955810547
    1814536.7500000000     574308.7500000000       -359.1952819824       1711.9033203125
    1814388.7500000000     574333.8750000000       -354.2668762207       1696.4735107422
    1814240.6250000000     574359.0000000000       -349.3385009766       1681.0380859375
    1814092.7500000000     574384.1250000000       -344.4101867676       1665.6021728516
    1813944.7500000000     574409.2500000000       -339.4818725586       1674.7541503906
    1813796.6250000000     574434.3750000000       -334.5536193848       1740.5035400391
    1813648.6250000000     574459.5000000000       -331.5553894043       1851.2399902344
    1813500.6250000000     574484.6250000000       -329.3185119629       2012.1883544922
    1813352.6250000000     574509.7500000000       -329.1520996094       2265.4597167969
    1813204.5000000000     574534.8125000000       -329.9285888672       2553.1518554688
    1813056.5000000000     574559.9375000000       -328.4531555176       2677.7297363281
    1812908.5000000000     574585.0625000000       -325.8063659668       2712.7043457031
    1812760.3750000000     574610.1875000000       -321.5526123047       2720.2014160156
    1812612.5000000000     574635.3125000000       -313.6015014648       2718.4580078125
    1812464.5000000000     574660.4375000000       -303.9208984375       2717.4992675781
    1812316.3750000000     574685.5000000000       -296.2802429199       2738.9768066406
    1812168.3750000000     574710.6250000000       -296.9373474121       2811.7565917969
    1812020.3750000000     574735.7500000000       -305.3740844727       2905.8808593750
    1811872.3750000000     574760.8750000000       -319.3191223145       3093.6047363281
    1811724.2500000000     574786.0000000000       -336.1858215332       3240.8417968750
    1811576.2500000000     574811.1250000000       -349.4360961914       3315.7014160156
    1811428.2500000000     574836.2500000000       -359.2072143555       3429.1628417969
    1811280.2500000000     574861.3750000000       -362.1018371582       3489.5578613281
    1811132.2500000000     574886.5000000000       -355.6854553223       3472.0297851563
    1810984.2500000000     574911.5625000000       -347.1442871094       3431.1247558594
    1810836.2500000000     574936.6875000000       -337.1535339355       3374.2770996094
    1810688.2500000000     574961.8125000000       -322.6551513672       3295.0314941406
    1810540.2500000000     574986.9375000000       -304.5440979004       3213.4362792969
    1810392.1250000000     575012.0625000000       -286.4331054688       3144.3950195313
    1810244.1250000000     575037.1875000000       -268.3222045898       3094.9125976563
    1810096.1250000000     575062.3125000000       -250.6562194824       3050.3249511719
    1809948.1250000000     575087.4375000000       -233.7760467529       3014.3815917969
    1809800.1250000000     575112.5625000000       -216.8959655762       2978.4377441406
    1809652.1250000000     575137.6250000000       -200.0156250000       2942.4936523438
    1809504.0000000000     575162.7500000000       -183.1355895996       2901.0610351563
    1809356.0000000000     575187.8750000000       -166.9109497070       2854.1667480469
    1809208.0000000000     575213.0000000000       -152.3134765625       2825.1735839844
    1809060.0000000000     575238.1250000000       -137.7157897949       2796.1752929688
    1808912.0000000000     575263.2500000000       -123.8010025024       2769.2424316406
    1808764.0000000000     575288.3750000000       -112.0153961182       2748.7324218750
    1808616.0000000000     575313.5000000000       -100.2297058105       2728.2219238281
    1808467.8750000000     575338.6250000000        -92.9752960205       2751.8344726563
    1808319.8750000000     575363.6875000000       -104.0252151489       2953.6623535156
    1808171.8750000000     575388.8125000000       -113.7991409302       3141.4558105469
    1808023.8750000000     575413.9375000000       -117.3075485229       3257.6257324219
    1807875.8750000000     575439.0625000000       -120.8159255981       3358.9782714844
    1807727.8750000000     575464.1875000000       -124.0314407349       3453.6308593750
    1807579.7500000000     575489.3125000000       -125.1921081543       3501.3452148438
    1807431.7500000000     575514.4375000000       -126.3531036377       3549.0551757813
    1807283.7500000000     575539.5625000000       -127.5139846802       3596.7692871094
    1807135.7500000000     575564.6875000000       -128.6749267578       3644.4814453125
    1806987.7500000000     575589.7500000000       -129.7807159424       3691.5903320313
    1806839.7500000000     575614.8750000000       -129.8541717529       3727.3405761719
    1806691.7500000000     575640.0000000000       -129.9274749756       3762.9125976563
    1806543.6250000000     575665.1250000000       -129.9768371582       3789.7673339844
    1806395.6250000000     575690.2500000000       -126.0818634033       3720.2475585938
    1806247.6250000000     575715.3750000000       -111.8100585938       3656.2939453125
    1806238.0000000000     575717.0000000000       -110.8755874634       3652.1367187500
    1806238.0000000000     575857.3750000000       -107.6841354370       3571.4165039063
    1806238.0000000000     576007.5000000000        -96.8675537109       3404.6843261719
    1806238.0000000000     576157.6250000000        -86.0089645386       3298.4716796875
    1806238.0000000000     576307.7500000000        -72.7483978271       3189.3422851563
    1806238.0000000000     576457.8750000000        -59.4878501892       3080.6755371094
    1806238.0000000000     576608.0000000000        -46.2274665833       2998.5754394531
