# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm2d/02_W_SALINAS_2Dextn_PWD_sublyrs_Er3
# Data Access:	Total
# Event:	Event_16
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	06_MOHN
# Overlay:	Layer Thickness
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1816757.0000000000     573932.0000000000        793.9388427734       1168.9837646484
    1816609.0000000000     573957.1250000000        803.2324218750       1123.0045166016
    1816461.0000000000     573982.2500000000        769.6801757813       1077.0209960938
    1816313.0000000000     574007.3750000000        737.3142700195       1054.7296142578
    1816164.8750000000     574032.5000000000        733.8416748047       1032.8417968750
    1816016.8750000000     574057.5625000000        718.8507690430       1055.4110107422
    1815868.8750000000     574082.6875000000        673.6634521484       1098.9171142578
    1815720.8750000000     574107.8125000000        635.9257812500       1172.2182617188
    1815572.8750000000     574132.9375000000        642.3291015625       1285.2214355469
    1815424.7500000000     574158.0625000000        649.1340332031       1446.2960205078
    1815276.7500000000     574183.1875000000        639.3067016602       1597.0854492188
    1815128.7500000000     574208.3125000000        620.2530517578       1787.3953857422
    1814980.7500000000     574233.3750000000        584.7846679688       1798.3878173828
    1814832.7500000000     574258.5000000000        555.9888916016       1776.6451416016
    1814684.7500000000     574283.6250000000        544.0313110352       1733.5955810547
    1814536.7500000000     574308.7500000000        539.8875732422       1711.9033203125
    1814388.7500000000     574333.8750000000        535.7440795898       1696.4735107422
    1814240.6250000000     574359.0000000000        530.4552001953       1681.0380859375
    1814092.7500000000     574384.1250000000        521.0892333984       1665.6021728516
    1813944.7500000000     574409.2500000000        509.0911254883       1674.7541503906
    1813796.6250000000     574434.3750000000        502.9228210449       1740.5035400391
    1813648.6250000000     574459.5000000000        508.7392272949       1851.2399902344
    1813500.6250000000     574484.6250000000        531.9954223633       2012.1883544922
    1813352.6250000000     574509.7500000000        550.8989257813       2265.4597167969
    1813204.5000000000     574534.8125000000        535.5280151367       2553.1518554688
    1813056.5000000000     574559.9375000000        504.9060363770       2677.7297363281
    1812908.5000000000     574585.0625000000        466.2519836426       2712.7043457031
    1812760.3750000000     574610.1875000000        427.9101562500       2720.2014160156
    1812612.5000000000     574635.3125000000        413.9785156250       2718.4580078125
    1812464.5000000000     574660.4375000000        413.6584777832       2717.4992675781
    1812316.3750000000     574685.5000000000        408.6827697754       2738.9768066406
    1812168.3750000000     574710.6250000000        393.5416259766       2811.7565917969
    1812020.3750000000     574735.7500000000        377.0743713379       2905.8808593750
    1811872.3750000000     574760.8750000000        360.2930603027       3093.6047363281
    1811724.2500000000     574786.0000000000        336.9591674805       3240.8417968750
    1811576.2500000000     574811.1250000000        313.9531250000       3315.7014160156
    1811428.2500000000     574836.2500000000        294.4263916016       3429.1628417969
    1811280.2500000000     574861.3750000000        281.7763366699       3489.5578613281
    1811132.2500000000     574886.5000000000        282.6941528320       3472.0297851563
    1810984.2500000000     574911.5625000000        255.6102447510       3431.1247558594
    1810836.2500000000     574936.6875000000        257.2035522461       3374.2770996094
    1810688.2500000000     574961.8125000000        273.8887329102       3295.0314941406
    1810540.2500000000     574986.9375000000        289.2391052246       3213.4362792969
    1810392.1250000000     575012.0625000000        290.9802856445       3144.3950195313
    1810244.1250000000     575037.1875000000        296.6185302734       3094.9125976563
    1810096.1250000000     575062.3125000000        300.9843139648       3050.3249511719
    1809948.1250000000     575087.4375000000        303.1036682129       3014.3815917969
    1809800.1250000000     575112.5625000000        305.2228698730       2978.4377441406
    1809652.1250000000     575137.6250000000        307.5869750977       2942.4936523438
    1809504.0000000000     575162.7500000000        310.0185241699       2901.0610351563
    1809356.0000000000     575187.8750000000        309.9381408691       2854.1667480469
    1809208.0000000000     575213.0000000000        308.9200439453       2825.1735839844
    1809060.0000000000     575238.1250000000        311.0429077148       2796.1752929688
    1808912.0000000000     575263.2500000000        314.5584106445       2769.2424316406
    1808764.0000000000     575288.3750000000        322.1743469238       2748.7324218750
    1808616.0000000000     575313.5000000000        329.9917907715       2728.2219238281
    1808467.8750000000     575338.6250000000        333.9147338867       2751.8344726563
    1808319.8750000000     575363.6875000000        322.5000610352       2953.6623535156
    1808171.8750000000     575388.8125000000        312.1588134766       3141.4558105469
    1808023.8750000000     575413.9375000000        307.9289245605       3257.6257324219
    1807875.8750000000     575439.0625000000        303.5349426270       3358.9782714844
    1807727.8750000000     575464.1875000000        297.8937988281       3453.6308593750
    1807579.7500000000     575489.3125000000        293.8561401367       3501.3452148438
    1807431.7500000000     575514.4375000000        286.2723388672       3549.0551757813
    1807283.7500000000     575539.5625000000        279.0740356445       3596.7692871094
    1807135.7500000000     575564.6875000000        272.2349853516       3644.4814453125
    1806987.7500000000     575589.7500000000        265.0582275391       3691.5903320313
    1806839.7500000000     575614.8750000000        258.6803894043       3727.3405761719
    1806691.7500000000     575640.0000000000        256.6700744629       3762.9125976563
    1806543.6250000000     575665.1250000000        260.5842285156       3789.7673339844
    1806395.6250000000     575690.2500000000        268.8247070313       3720.2475585938
    1806247.6250000000     575715.3750000000        287.6642761230       3656.2939453125
    1806238.0000000000     575717.0000000000        288.6041564941       3652.1367187500
    1806238.0000000000     575857.3750000000        298.0674743652       3571.4165039063
    1806238.0000000000     576007.5000000000        320.8436584473       3404.6843261719
    1806238.0000000000     576157.6250000000        344.0973510742       3298.4716796875
    1806238.0000000000     576307.7500000000        369.7906494141       3189.3422851563
    1806238.0000000000     576457.8750000000        405.3246154785       3080.6755371094
    1806238.0000000000     576608.0000000000        441.2827758789       2998.5754394531
    1806238.0000000000     576758.1875000000        477.9186706543       2916.9216308594
    1806238.0000000000     576908.3125000000        517.6536865234       2860.3435058594
    1806238.0000000000     577058.4375000000        557.1795043945       2803.7670898438
    1806238.0000000000     577208.5625000000        584.3393554688       2747.5314941406
    1806238.0000000000     577358.7500000000        589.3883056641       2710.8767089844
    1806238.0000000000     577508.8125000000        594.5724487305       2674.2243652344
    1806238.0000000000     577659.0000000000        607.3239135742       2637.5693359375
    1806238.0000000000     577809.1250000000        615.0778198242       2601.4614257813
    1806238.0000000000     577959.2500000000        620.0888671875       2593.4404296875
    1806238.0000000000     578109.4375000000        627.5520629883       2437.2343750000
    1806238.0000000000     578259.5000000000        632.5222167969       2216.6640625000
    1806238.0000000000     578409.6875000000        643.4033813477       1995.4274902344
    1806238.0000000000     578559.8125000000        656.4552612305       1736.3901367188
    1806238.0000000000     578709.9375000000        670.7087402344       1479.1427001953
    1806238.0000000000     578860.0625000000        750.9367065430       1324.9842529297
    1806238.0000000000     579010.1875000000        748.6850585938       1317.2727050781
    1806238.0000000000     579160.3750000000        745.1000366211       1278.0838623047
