# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	01_EAST_BSMT
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       2510.357666       2510.357666
    1832124.375000     554986.312500       2641.789795       2641.789795
    1832114.625000     555286.562500       2710.789307       2710.789307
    1832104.875000     555586.812500       2822.134033       2822.134033
    1832095.125000     555887.125000       2964.448975       2964.448975
    1832085.375000     556187.375000       3064.482910       3064.482910
    1832080.500000     556335.875000       3068.561035       3068.561035
    1832075.625000     556487.625000       3071.978271       3071.978271
    1832065.875000     556787.875000       3085.385010       3085.385010
    1832056.125000     557088.187500       3111.516602       3111.516602
    1832046.375000     557388.437500       3135.486816       3135.486816
    1832036.625000     557688.687500       3139.139160       3139.139160
    1832026.875000     557989.000000       3128.003174       3128.003174
    1832017.125000     558289.250000       3118.278564       3118.278564
    1832007.375000     558589.500000       3112.922852       3112.922852
    1831997.625000     558889.750000       3114.846436       3114.846436
    1831987.875000     559190.062500       3113.783691       3113.783691
    1831978.125000     559490.312500       3101.299805       3101.299805
    1831968.250000     559790.562500       3089.966064       3089.966064
    1831958.500000     560090.812500       3079.692383       3079.692383
    1831948.750000     560391.125000       3068.518799       3068.518799
    1831939.000000     560691.375000       3042.929688       3042.929688
    1831929.250000     560991.625000       3001.848145       3001.848145
    1831922.000000     561216.250000       2963.475098       2963.475098
    1831832.250000     561291.875000       2980.783936       2980.783936
    1831780.125000     561335.875000       2990.275391       2990.275391
    1831479.750000     561589.312500       3034.112061       3034.112061
    1831476.375000     561592.187500       3034.430176       3034.430176
    1831179.250000     561842.750000       3059.624268       3059.624268
    1831120.375000     561892.437500       3065.713379       3065.713379
    1830878.875000     562096.187500       3094.514893       3094.514893
    1830764.500000     562192.687500       3100.845947       3100.845947
    1830687.500000     562257.625000       3104.222900       3104.222900
    1830578.500000     562402.000000       3110.151123       3110.151123
    1830509.750000     562492.937500       3112.802246       3112.802246
