# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	02_EAST_VAQ
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       2320.032715       2320.032715
    1832124.375000     554986.312500       2433.388672       2433.388672
    1832114.625000     555286.562500       2530.771484       2530.771484
    1832104.875000     555586.812500       2632.535645       2632.535645
    1832095.125000     555887.125000       2746.084473       2746.084473
    1832085.375000     556187.375000       2823.079346       2823.079346
    1832080.500000     556335.875000       2838.489746       2838.489746
    1832075.625000     556487.625000       2853.377441       2853.377441
    1832065.875000     556787.875000       2863.916748       2863.916748
    1832056.125000     557088.187500       2888.846924       2888.846924
    1832046.375000     557388.437500       2905.527344       2905.527344
    1832036.625000     557688.687500       2910.950439       2910.950439
    1832026.875000     557989.000000       2904.105225       2904.105225
    1832017.125000     558289.250000       2895.383545       2895.383545
    1832007.375000     558589.500000       2890.271484       2890.271484
    1831997.625000     558889.750000       2890.036621       2890.036621
    1831987.875000     559190.062500       2891.355957       2891.355957
    1831978.125000     559490.312500       2886.201416       2886.201416
    1831968.250000     559790.562500       2877.225098       2877.225098
    1831958.500000     560090.812500       2867.733643       2867.733643
    1831948.750000     560391.125000       2855.535645       2855.535645
    1831939.000000     560691.375000       2835.656494       2835.656494
    1831929.250000     560991.625000       2803.292480       2803.292480
    1831922.000000     561216.250000       2779.437744       2779.437744
    1831832.250000     561291.875000       2794.297363       2794.297363
    1831780.125000     561335.875000       2801.221924       2801.221924
    1831479.750000     561589.312500       2842.533936       2842.533936
    1831476.375000     561592.187500       2842.843994       2842.843994
    1831179.250000     561842.750000       2865.768066       2865.768066
    1831120.375000     561892.437500       2871.632324       2871.632324
    1830878.875000     562096.187500       2899.149902       2899.149902
    1830764.500000     562192.687500       2904.744629       2904.744629
    1830687.500000     562257.625000       2908.587402       2908.587402
    1830578.500000     562402.000000       2915.199951       2915.199951
    1830509.750000     562492.937500       2918.525146       2918.525146
    1830282.875000     562793.250000       2925.265869       2925.265869
    1830278.000000     562799.687500       2925.384766       2925.384766
    1830056.000000     563093.500000       2931.406738       2931.406738
    1829977.625000     563197.312500       2934.693848       2934.693848
    1829829.250000     563393.750000       2939.799805       2939.799805
    1829677.125000     563595.000000       2951.261230       2951.261230
    1829602.375000     563694.000000       2955.909668       2955.909668
    1829376.750000     563992.687500       2967.938477       2967.938477
    1829375.500000     563994.312500       2967.972656       2967.972656
    1829148.625000     564294.562500       2979.958252       2979.958252
    1829076.375000     564390.375000       2980.967041       2980.967041
    1828921.875000     564594.812500       2972.611572       2972.611572
    1828775.875000     564788.000000       2965.293701       2965.293701
    1828695.000000     564895.062500       2960.074219       2960.074219
    1828475.500000     565185.687500       2947.699219       2947.699219
    1828468.125000     565195.375000       2947.368408       2947.368408
    1828241.375000     565495.625000       2933.549561       2933.549561
    1828185.000000     565570.125000       2924.647461       2924.647461
    1828475.500000     565673.812500       2884.609619       2884.609619
    1828775.875000     565781.062500       2847.446289       2847.446289
    1828817.375000     565795.875000       2833.220947       2833.220947
    1829076.375000     565888.312500       2739.078369       2739.078369
