# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	03_EAST_SAUC
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       1967.274414       1967.274414
    1832124.375000     554986.312500       1996.173950       1996.173950
    1832114.625000     555286.562500       2026.466064       2026.466064
    1832104.875000     555586.812500       2095.293701       2095.293701
    1832095.125000     555887.125000       2199.955811       2199.955811
    1832085.375000     556187.375000       2262.714600       2262.714600
    1832080.500000     556335.875000       2273.391113       2273.391113
    1832075.625000     556487.625000       2284.081543       2284.081543
    1832065.875000     556787.875000       2301.781006       2301.781006
    1832056.125000     557088.187500       2343.270996       2343.270996
    1832046.375000     557388.437500       2399.224121       2399.224121
    1832036.625000     557688.687500       2453.439453       2453.439453
    1832026.875000     557989.000000       2478.461670       2478.461670
    1832017.125000     558289.250000       2476.772949       2476.772949
    1832007.375000     558589.500000       2473.038086       2473.038086
    1831997.625000     558889.750000       2476.821777       2476.821777
    1831987.875000     559190.062500       2486.080566       2486.080566
    1831978.125000     559490.312500       2494.262939       2494.262939
    1831968.250000     559790.562500       2502.106445       2502.106445
    1831958.500000     560090.812500       2514.722900       2514.722900
    1831948.750000     560391.125000       2523.736816       2523.736816
    1831939.000000     560691.375000       2539.096680       2539.096680
    1831929.250000     560991.625000       2551.884033       2551.884033
    1831922.000000     561216.250000       2555.707031       2555.707031
    1831832.250000     561291.875000       2579.906250       2579.906250
    1831780.125000     561335.875000       2591.397461       2591.397461
    1831479.750000     561589.312500       2659.153564       2659.153564
    1831476.375000     561592.187500       2659.186768       2659.186768
    1831179.250000     561842.750000       2682.675049       2682.675049
    1831120.375000     561892.437500       2687.375244       2687.375244
    1830878.875000     562096.187500       2712.693359       2712.693359
    1830764.500000     562192.687500       2726.661133       2726.661133
    1830687.500000     562257.625000       2733.680176       2733.680176
    1830578.500000     562402.000000       2741.994141       2741.994141
    1830509.750000     562492.937500       2752.038330       2752.038330
    1830282.875000     562793.250000       2794.295654       2794.295654
    1830278.000000     562799.687500       2794.479736       2794.479736
    1830056.000000     563093.500000       2801.274170       2801.274170
    1829977.625000     563197.312500       2802.481934       2802.481934
    1829829.250000     563393.750000       2793.391113       2793.391113
    1829677.125000     563595.000000       2791.463623       2791.463623
    1829602.375000     563694.000000       2789.540527       2789.540527
    1829376.750000     563992.687500       2813.986572       2813.986572
    1829375.500000     563994.312500       2814.008545       2814.008545
    1829148.625000     564294.562500       2801.672607       2801.672607
    1829076.375000     564390.375000       2808.688477       2808.688477
    1828921.875000     564594.812500       2810.290283       2810.290283
    1828775.875000     564788.000000       2818.688232       2818.688232
    1828695.000000     564895.062500       2819.543457       2819.543457
    1828475.500000     565185.687500       2834.141846       2834.141846
    1828468.125000     565195.375000       2834.315430       2834.315430
    1828241.375000     565495.625000       2835.960205       2835.960205
    1828185.000000     565570.125000       2834.641113       2834.641113
    1828475.500000     565673.812500       2799.315430       2799.315430
    1828775.875000     565781.062500       2756.971924       2756.971924
    1828817.375000     565795.875000       2748.529053       2748.529053
    1829076.375000     565888.312500       2686.276367       2686.276367
    1829376.750000     565995.562500       2540.543213       2540.543213
    1829658.500000     566096.125000       2307.814453       2307.814453
    1829677.125000     566102.812500       2289.561279       2289.561279
    1829977.625000     566210.062500       1951.920410       1951.920410
    1830278.000000     566317.312500       1796.589233       1796.589233
