# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	04_EAST_RELIZ
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       1588.104004       1588.104004
    1832124.375000     554986.312500       1649.188721       1649.188721
    1832114.625000     555286.562500       1686.707397       1686.707397
    1832104.875000     555586.812500       1713.905640       1713.905640
    1832095.125000     555887.125000       1761.826416       1761.826416
    1832085.375000     556187.375000       1793.438843       1793.438843
    1832080.500000     556335.875000       1802.441772       1802.441772
    1832075.625000     556487.625000       1811.650269       1811.650269
    1832065.875000     556787.875000       1854.088623       1854.088623
    1832056.125000     557088.187500       1913.255981       1913.255981
    1832046.375000     557388.437500       1979.807739       1979.807739
    1832036.625000     557688.687500       2040.505737       2040.505737
    1832026.875000     557989.000000       2074.185791       2074.185791
    1832017.125000     558289.250000       2102.188721       2102.188721
    1832007.375000     558589.500000       2125.005859       2125.005859
    1831997.625000     558889.750000       2153.385986       2153.385986
    1831987.875000     559190.062500       2188.824463       2188.824463
    1831978.125000     559490.312500       2228.223633       2228.223633
    1831968.250000     559790.562500       2263.972656       2263.972656
    1831958.500000     560090.812500       2296.061768       2296.061768
    1831948.750000     560391.125000       2328.778320       2328.778320
    1831939.000000     560691.375000       2355.886475       2355.886475
    1831929.250000     560991.625000       2374.275146       2374.275146
    1831922.000000     561216.250000       2386.760498       2386.760498
    1831832.250000     561291.875000       2422.324951       2422.324951
    1831780.125000     561335.875000       2444.290039       2444.290039
    1831479.750000     561589.312500       2539.355469       2539.355469
    1831476.375000     561592.187500       2540.000244       2540.000244
    1831179.250000     561842.750000       2568.915527       2568.915527
    1831120.375000     561892.437500       2577.315918       2577.315918
    1830878.875000     562096.187500       2603.682617       2603.682617
    1830764.500000     562192.687500       2611.698242       2611.698242
    1830687.500000     562257.625000       2614.412354       2614.412354
    1830578.500000     562402.000000       2618.061035       2618.061035
    1830509.750000     562492.937500       2618.132080       2618.132080
    1830282.875000     562793.250000       2622.104004       2622.104004
    1830278.000000     562799.687500       2622.140869       2622.140869
    1830056.000000     563093.500000       2623.219727       2623.219727
    1829977.625000     563197.312500       2626.527100       2626.527100
    1829829.250000     563393.750000       2622.233154       2622.233154
    1829677.125000     563595.000000       2613.860107       2613.860107
    1829602.375000     563694.000000       2610.754150       2610.754150
    1829376.750000     563992.687500       2596.805908       2596.805908
    1829375.500000     563994.312500       2596.760742       2596.760742
    1829148.625000     564294.562500       2586.178223       2586.178223
    1829076.375000     564390.375000       2583.754883       2583.754883
    1828921.875000     564594.812500       2573.492432       2573.492432
    1828775.875000     564788.000000       2572.078125       2572.078125
    1828695.000000     564895.062500       2569.068359       2569.068359
    1828475.500000     565185.687500       2567.750000       2567.750000
    1828468.125000     565195.375000       2567.658203       2567.658203
    1828241.375000     565495.625000       2566.750000       2566.750000
    1828185.000000     565570.125000       2567.717773       2567.717773
    1828475.500000     565673.812500       2540.433838       2540.433838
    1828775.875000     565781.062500       2522.475098       2522.475098
    1828817.375000     565795.875000       2520.102783       2520.102783
    1829076.375000     565888.312500       2500.840576       2500.840576
    1829376.750000     565995.562500       2400.443848       2400.443848
    1829658.500000     566096.125000       2208.665039       2208.665039
    1829677.125000     566102.812500       2194.408447       2194.408447
    1829977.625000     566210.062500       1889.657593       1889.657593
    1830278.000000     566317.312500       1759.712280       1759.712280
    1830499.625000     566396.437500       1641.101929       1641.101929
    1830578.500000     566424.500000       1600.555786       1600.555786
    1830878.875000     566531.750000       1458.446045       1458.446045
    1831179.250000     566639.000000       1274.759644       1274.759644
    1831340.875000     566696.687500       1161.958862       1161.958862
    1831479.750000     566746.250000       1069.255615       1069.255615
    1831780.125000     566853.500000        933.956665        933.956665
    1832080.500000     566960.750000        872.023560        872.023560
    1832182.000000     566996.937500        853.815796        853.815796
