# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	05_EAST_LUIS
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       1242.899170       1242.899170
    1832124.375000     554986.312500       1246.422241       1246.422241
    1832114.625000     555286.562500       1252.912476       1252.912476
    1832104.875000     555586.812500       1268.506470       1268.506470
    1832095.125000     555887.125000       1289.326904       1289.326904
    1832085.375000     556187.375000       1303.037231       1303.037231
    1832080.500000     556335.875000       1305.964844       1305.964844
    1832075.625000     556487.625000       1308.918579       1308.918579
    1832065.875000     556787.875000       1323.147461       1323.147461
    1832056.125000     557088.187500       1357.278442       1357.278442
    1832046.375000     557388.437500       1402.438843       1402.438843
    1832036.625000     557688.687500       1445.419312       1445.419312
    1832026.875000     557989.000000       1480.796997       1480.796997
    1832017.125000     558289.250000       1503.071777       1503.071777
    1832007.375000     558589.500000       1522.842407       1522.842407
    1831997.625000     558889.750000       1559.189575       1559.189575
    1831987.875000     559190.062500       1618.424561       1618.424561
    1831978.125000     559490.312500       1671.203003       1671.203003
    1831968.250000     559790.562500       1707.016357       1707.016357
    1831958.500000     560090.812500       1741.961914       1741.961914
    1831948.750000     560391.125000       1780.080078       1780.080078
    1831939.000000     560691.375000       1817.393555       1817.393555
    1831929.250000     560991.625000       1865.184448       1865.184448
    1831922.000000     561216.250000       1911.562256       1911.562256
    1831832.250000     561291.875000       1940.370239       1940.370239
    1831780.125000     561335.875000       1957.409058       1957.409058
    1831479.750000     561589.312500       2036.050659       2036.050659
    1831476.375000     561592.187500       2036.766357       2036.766357
    1831179.250000     561842.750000       2093.630615       2093.630615
    1831120.375000     561892.437500       2105.885742       2105.885742
    1830878.875000     562096.187500       2135.017578       2135.017578
    1830764.500000     562192.687500       2166.110840       2166.110840
    1830687.500000     562257.625000       2182.074707       2182.074707
    1830578.500000     562402.000000       2209.213623       2209.213623
    1830509.750000     562492.937500       2224.654297       2224.654297
    1830282.875000     562793.250000       2257.986572       2257.986572
    1830278.000000     562799.687500       2258.614014       2258.614014
    1830056.000000     563093.500000       2269.799805       2269.799805
    1829977.625000     563197.312500       2275.533691       2275.533691
    1829829.250000     563393.750000       2278.793457       2278.793457
    1829677.125000     563595.000000       2285.332764       2285.332764
    1829602.375000     563694.000000       2287.447266       2287.447266
    1829376.750000     563992.687500       2295.688965       2295.688965
    1829375.500000     563994.312500       2295.734619       2295.734619
    1829148.625000     564294.562500       2300.662109       2300.662109
    1829076.375000     564390.375000       2302.255127       2302.255127
    1828921.875000     564594.812500       2300.804443       2300.804443
    1828775.875000     564788.000000       2302.273682       2302.273682
    1828695.000000     564895.062500       2303.179199       2303.179199
    1828475.500000     565185.687500       2310.573242       2310.573242
    1828468.125000     565195.375000       2310.704590       2310.704590
    1828241.375000     565495.625000       2318.095459       2318.095459
    1828185.000000     565570.125000       2312.563232       2312.563232
    1828475.500000     565673.812500       2271.861084       2271.861084
    1828775.875000     565781.062500       2203.595947       2203.595947
    1828817.375000     565795.875000       2190.906982       2190.906982
    1829076.375000     565888.312500       2104.159912       2104.159912
    1829376.750000     565995.562500       2008.999023       2008.999023
    1829658.500000     566096.125000       1926.032104       1926.032104
    1829677.125000     566102.812500       1920.882080       1920.882080
    1829977.625000     566210.062500       1824.557739       1824.557739
