# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	05_EAST_LUIS_SEAL
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       1295.335938       1295.335938
    1832124.375000     554986.312500       1316.032227       1316.032227
    1832114.625000     555286.562500       1331.943115       1331.943115
    1832104.875000     555586.812500       1350.844604       1350.844604
    1832095.125000     555887.125000       1379.718140       1379.718140
    1832085.375000     556187.375000       1398.784668       1398.784668
    1832080.500000     556335.875000       1403.533203       1403.533203
    1832075.625000     556487.625000       1408.360596       1408.360596
    1832065.875000     556787.875000       1431.045166       1431.045166
    1832056.125000     557088.187500       1472.676025       1472.676025
    1832046.375000     557388.437500       1524.240234       1524.240234
    1832036.625000     557688.687500       1572.533447       1572.533447
    1832026.875000     557989.000000       1607.394775       1607.394775
    1832017.125000     558289.250000       1631.386108       1631.386108
    1832007.375000     558589.500000       1652.069580       1652.069580
    1831997.625000     558889.750000       1686.024780       1686.024780
    1831987.875000     559190.062500       1738.118164       1738.118164
    1831978.125000     559490.312500       1786.880127       1786.880127
    1831968.250000     559790.562500       1822.672974       1822.672974
    1831958.500000     560090.812500       1856.759521       1856.759521
    1831948.750000     560391.125000       1893.281128       1893.281128
    1831939.000000     560691.375000       1927.509033       1927.509033
    1831929.250000     560991.625000       1966.482056       1966.482056
    1831922.000000     561216.250000       2002.693604       2002.693604
    1831832.250000     561291.875000       2033.529541       2033.529541
    1831780.125000     561335.875000       2052.046631       2052.046631
    1831479.750000     561589.312500       2135.616211       2135.616211
    1831476.375000     561592.187500       2136.310547       2136.310547
    1831179.250000     561842.750000       2184.789795       2184.789795
    1831120.375000     561892.437500       2195.888428       2195.888428
    1830878.875000     562096.187500       2224.191406       2224.191406
    1830764.500000     562192.687500       2248.361084       2248.361084
    1830687.500000     562257.625000       2260.349609       2260.349609
    1830578.500000     562402.000000       2280.441406       2280.441406
    1830509.750000     562492.937500       2291.271240       2291.271240
    1830282.875000     562793.250000       2315.800049       2315.800049
    1830278.000000     562799.687500       2316.250488       2316.250488
    1830056.000000     563093.500000       2324.413574       2324.413574
    1829977.625000     563197.312500       2329.425537       2329.425537
    1829829.250000     563393.750000       2330.444824       2330.444824
    1829677.125000     563595.000000       2332.504883       2332.504883
    1829602.375000     563694.000000       2333.044189       2333.044189
    1829376.750000     563992.687500       2334.728271       2334.728271
    1829375.500000     563994.312500       2334.747070       2334.747070
    1829148.625000     564294.562500       2335.103027       2335.103027
    1829076.375000     564390.375000       2335.564209       2335.564209
    1828921.875000     564594.812500       2331.588623       2331.588623
    1828775.875000     564788.000000       2332.216553       2332.216553
    1828695.000000     564895.062500       2331.986572       2331.986572
    1828475.500000     565185.687500       2336.798584       2336.798584
    1828468.125000     565195.375000       2336.864014       2336.864014
    1828241.375000     565495.625000       2341.766113       2341.766113
    1828185.000000     565570.125000       2338.206055       2338.206055
    1828475.500000     565673.812500       2301.558350       2301.558350
    1828775.875000     565781.062500       2248.302246       2248.302246
    1828817.375000     565795.875000       2238.708252       2238.708252
    1829076.375000     565888.312500       2172.253662       2172.253662
    1829376.750000     565995.562500       2075.527344       2075.527344
    1829658.500000     566096.125000       1959.953491       1959.953491
    1829677.125000     566102.812500       1952.074219       1952.074219
    1829977.625000     566210.062500       1824.557739       1824.557739
    1830278.000000     566317.312500       1722.024292       1722.024292
    1830499.625000     566396.437500       1631.742432       1631.742432
    1830578.500000     566424.500000       1597.288818       1597.288818
    1830878.875000     566531.750000       1432.466675       1432.466675
    1831179.250000     566639.000000       1244.599487       1244.599487
    1831340.875000     566696.687500       1132.895142       1132.895142
    1831479.750000     566746.250000       1036.093750       1036.093750
    1831780.125000     566853.500000        896.166443        896.166443
    1832080.500000     566960.750000        832.119141        832.119141
    1832182.000000     566996.937500        823.276672        823.276672
    1832381.000000     567068.000000        806.867737        806.867737
    1832681.375000     567175.250000        787.792358        787.792358
