# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	05b_EAST_OilFieldKC_30PercFromLuis
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       1346.514893       1346.514893
    1832124.375000     554986.312500       1367.203003       1367.203003
    1832114.625000     555286.562500       1383.122314       1383.122314
    1832104.875000     555586.812500       1402.090454       1402.090454
    1832095.125000     555887.125000       1431.062012       1431.062012
    1832085.375000     556187.375000       1450.155884       1450.155884
    1832080.500000     556335.875000       1454.908325       1454.908325
    1832075.625000     556487.625000       1459.738525       1459.738525
    1832065.875000     556787.875000       1482.437500       1482.437500
    1832056.125000     557088.187500       1524.077515       1524.077515
    1832046.375000     557388.437500       1575.652344       1575.652344
    1832036.625000     557688.687500       1623.960938       1623.960938
    1832026.875000     557989.000000       1658.831787       1658.831787
    1832017.125000     558289.250000       1682.824951       1682.824951
    1832007.375000     558589.500000       1703.509155       1703.509155
    1831997.625000     558889.750000       1737.465454       1737.465454
    1831987.875000     559190.062500       1789.559937       1789.559937
    1831978.125000     559490.312500       1838.322754       1838.322754
    1831968.250000     559790.562500       1874.115845       1874.115845
    1831958.500000     560090.812500       1908.203125       1908.203125
    1831948.750000     560391.125000       1944.724731       1944.724731
    1831939.000000     560691.375000       1978.950684       1978.950684
    1831929.250000     560991.625000       2017.918823       2017.918823
    1831922.000000     561216.250000       2054.127441       2054.127441
    1831832.250000     561291.875000       2084.962158       2084.962158
    1831780.125000     561335.875000       2103.479004       2103.479004
    1831479.750000     561589.312500       2187.048096       2187.048096
    1831476.375000     561592.187500       2187.742432       2187.742432
    1831179.250000     561842.750000       2236.221191       2236.221191
    1831120.375000     561892.437500       2247.319824       2247.319824
    1830878.875000     562096.187500       2275.622070       2275.622070
    1830764.500000     562192.687500       2299.791748       2299.791748
    1830687.500000     562257.625000       2311.780273       2311.780273
    1830578.500000     562402.000000       2331.871826       2331.871826
    1830509.750000     562492.937500       2342.701416       2342.701416
    1830282.875000     562793.250000       2367.229004       2367.229004
    1830278.000000     562799.687500       2367.679443       2367.679443
    1830056.000000     563093.500000       2375.832764       2375.832764
    1829977.625000     563197.312500       2380.839355       2380.839355
    1829829.250000     563393.750000       2381.835449       2381.835449
    1829677.125000     563595.000000       2383.864258       2383.864258
    1829602.375000     563694.000000       2384.396240       2384.396240
    1829376.750000     563992.687500       2386.034424       2386.034424
    1829375.500000     563994.312500       2386.052979       2386.052979
    1829148.625000     564294.562500       2386.331787       2386.331787
    1829076.375000     564390.375000       2386.758789       2386.758789
    1828921.875000     564594.812500       2382.697266       2382.697266
    1828775.875000     564788.000000       2383.264893       2383.264893
    1828695.000000     564895.062500       2383.003174       2383.003174
    1828475.500000     565185.687500       2387.797607       2387.797607
    1828468.125000     565195.375000       2387.862305       2387.862305
    1828241.375000     565495.625000       2392.774170       2392.774170
    1828185.000000     565570.125000       2389.212891       2389.212891
    1828475.500000     565673.812500       2352.544434       2352.544434
    1828775.875000     565781.062500       2299.270020       2299.270020
    1828817.375000     565795.875000       2289.676758       2289.676758
    1829076.375000     565888.312500       2223.227539       2223.227539
    1829376.750000     565995.562500       2126.477051       2126.477051
    1829658.500000     566096.125000       2010.862183       2010.862183
    1829677.125000     566102.812500       2002.979614       2002.979614
    1829977.625000     566210.062500       1844.100830       1844.100830
    1830278.000000     566317.312500       1733.340576       1733.340576
    1830499.625000     566396.437500       1634.552246       1634.552246
    1830578.500000     566424.500000       1598.269043       1598.269043
    1830878.875000     566531.750000       1440.258789       1440.258789
    1831179.250000     566639.000000       1253.644409       1253.644409
    1831340.875000     566696.687500       1141.611938       1141.611938
    1831479.750000     566746.250000       1046.041870       1046.041870
    1831780.125000     566853.500000        907.506104        907.506104
    1832080.500000     566960.750000        844.090210        844.090210
    1832182.000000     566996.937500        832.438171        832.438171
    1832381.000000     567068.000000        810.867004        810.867004
    1832681.375000     567175.250000        787.792358        787.792358
