# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	06_EAST_MOHN
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000         21.946653         21.946653
    1832124.375000     554986.312500         26.698936         26.698936
    1832114.625000     555286.562500         36.802429         36.802429
    1832104.875000     555586.812500         52.685886         52.685886
    1832095.125000     555887.125000         71.328339         71.328339
    1832085.375000     556187.375000         90.409882         90.409882
    1832080.500000     556335.875000         98.892281         98.892281
    1832075.625000     556487.625000        107.643898        107.643898
    1832065.875000     556787.875000        117.319405        117.319405
    1832056.125000     557088.187500        119.154900        119.154900
    1832046.375000     557388.437500        141.442535        141.442535
    1832036.625000     557688.687500        195.410187        195.410187
    1832026.875000     557989.000000        254.359619        254.359619
    1832017.125000     558289.250000        291.121094        291.121094
    1832007.375000     558589.500000        315.003326        315.003326
    1831997.625000     558889.750000        356.144012        356.144012
    1831987.875000     559190.062500        423.782104        423.782104
    1831978.125000     559490.312500        495.494995        495.494995
    1831968.250000     559790.562500        553.049255        553.049255
    1831958.500000     560090.812500        590.283691        590.283691
    1831948.750000     560391.125000        610.986938        610.986938
    1831939.000000     560691.375000        623.620728        623.620728
    1831929.250000     560991.625000        635.076233        635.076233
    1831922.000000     561216.250000        648.145081        648.145081
    1831832.250000     561291.875000        656.883057        656.883057
    1831780.125000     561335.875000        664.668518        664.668518
    1831479.750000     561589.312500        736.660400        736.660400
    1831476.375000     561592.187500        737.733765        737.733765
    1831179.250000     561842.750000        849.995056        849.995056
    1831120.375000     561892.437500        870.515747        870.515747
    1830878.875000     562096.187500        934.675720        934.675720
    1830764.500000     562192.687500        955.504272        955.504272
    1830687.500000     562257.625000        967.598267        967.598267
    1830578.500000     562402.000000        988.151123        988.151123
    1830509.750000     562492.937500        999.554993        999.554993
    1830282.875000     562793.250000       1046.783447       1046.783447
    1830278.000000     562799.687500       1047.737915       1047.737915
    1830056.000000     563093.500000       1099.517700       1099.517700
    1829977.625000     563197.312500       1118.197998       1118.197998
    1829829.250000     563393.750000       1172.557007       1172.557007
    1829677.125000     563595.000000       1227.349121       1227.349121
    1829602.375000     563694.000000       1254.967529       1254.967529
    1829376.750000     563992.687500       1326.791138       1326.791138
    1829375.500000     563994.312500       1327.173218       1327.173218
    1829148.625000     564294.562500       1388.036865       1388.036865
    1829076.375000     564390.375000       1404.485474       1404.485474
    1828921.875000     564594.812500       1422.502563       1422.502563
    1828775.875000     564788.000000       1439.533936       1439.533936
    1828695.000000     564895.062500       1442.569214       1442.569214
    1828475.500000     565185.687500       1458.600708       1458.600708
    1828468.125000     565195.375000       1458.690796       1458.690796
    1828241.375000     565495.625000       1464.133911       1464.133911
    1828185.000000     565570.125000       1464.202148       1464.202148
    1828475.500000     565673.812500       1429.983521       1429.983521
    1828775.875000     565781.062500       1338.558472       1338.558472
    1828817.375000     565795.875000       1321.464844       1321.464844
    1829076.375000     565888.312500       1208.369263       1208.369263
    1829376.750000     565995.562500       1085.741455       1085.741455
    1829658.500000     566096.125000       1010.966309       1010.966309
    1829677.125000     566102.812500       1006.688904       1006.688904
