# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	06_EAST_MOHN_SEAL
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000        593.619263        593.619263
    1832124.375000     554986.312500        597.455688        597.455688
    1832114.625000     555286.562500        605.672058        605.672058
    1832104.875000     555586.812500        621.408997        621.408997
    1832095.125000     555887.125000        640.996704        640.996704
    1832085.375000     556187.375000        657.314880        657.314880
    1832080.500000     556335.875000        662.904114        662.904114
    1832075.625000     556487.625000        668.639404        668.639404
    1832065.875000     556787.875000        680.677795        680.677795
    1832056.125000     557088.187500        699.268677        699.268677
    1832046.375000     557388.437500        733.452698        733.452698
    1832036.625000     557688.687500        781.698853        781.698853
    1832026.875000     557989.000000        828.343140        828.343140
    1832017.125000     558289.250000        857.527283        857.527283
    1832007.375000     558589.500000        879.270874        879.270874
    1831997.625000     558889.750000        917.945007        917.945007
    1831987.875000     559190.062500        981.218750        981.218750
    1831978.125000     559490.312500       1043.202026       1043.202026
    1831968.250000     559790.562500       1089.293091       1089.293091
    1831958.500000     560090.812500       1125.330200       1125.330200
    1831948.750000     560391.125000       1155.183716       1155.183716
    1831939.000000     560691.375000       1180.547485       1180.547485
    1831929.250000     560991.625000       1211.094727       1211.094727
    1831922.000000     561216.250000       1241.395874       1241.395874
    1831832.250000     561291.875000       1260.526978       1260.526978
    1831780.125000     561335.875000       1273.114624       1273.114624
    1831479.750000     561589.312500       1348.432739       1348.432739
    1831476.375000     561592.187500       1349.320190       1349.320190
    1831179.250000     561842.750000       1432.892944       1432.892944
    1831120.375000     561892.437500       1449.115601       1449.115601
    1830878.875000     562096.187500       1495.060181       1495.060181
    1830764.500000     562192.687500       1521.223145       1521.223145
    1830687.500000     562257.625000       1535.335083       1535.335083
    1830578.500000     562402.000000       1559.339722       1559.339722
    1830509.750000     562492.937500       1572.846802       1572.846802
    1830282.875000     562793.250000       1611.208008       1611.208008
    1830278.000000     562799.687500       1611.863037       1611.863037
