# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	06b_EAST_OilFieldRes_700x747
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000        657.094788        657.094788
    1832124.375000     554986.312500        660.902100        660.902100
    1832114.625000     555286.562500        669.115479        669.115479
    1832104.875000     555586.812500        684.958862        684.958862
    1832095.125000     555887.125000        704.699829        704.699829
    1832085.375000     556187.375000        721.040527        721.040527
    1832080.500000     556335.875000        726.634888        726.634888
    1832075.625000     556487.625000        732.374512        732.374512
    1832065.875000     556787.875000        744.438049        744.438049
    1832056.125000     557088.187500        763.035461        763.035461
    1832046.375000     557388.437500        797.235657        797.235657
    1832036.625000     557688.687500        845.498108        845.498108
    1832026.875000     557989.000000        892.152893        892.152893
    1832017.125000     558289.250000        921.349182        921.349182
    1832007.375000     558589.500000        943.093323        943.093323
    1831997.625000     558889.750000        981.767578        981.767578
    1831987.875000     559190.062500       1045.040405       1045.040405
    1831978.125000     559490.312500       1107.022827       1107.022827
    1831968.250000     559790.562500       1153.114380       1153.114380
    1831958.500000     560090.812500       1189.153564       1189.153564
    1831948.750000     560391.125000       1219.006958       1219.006958
    1831939.000000     560691.375000       1244.367310       1244.367310
    1831929.250000     560991.625000       1274.908447       1274.908447
    1831922.000000     561216.250000       1305.205200       1305.205200
    1831832.250000     561291.875000       1324.334351       1324.334351
    1831780.125000     561335.875000       1336.921265       1336.921265
    1831479.750000     561589.312500       1412.236938       1412.236938
    1831476.375000     561592.187500       1413.124390       1413.124390
    1831179.250000     561842.750000       1496.693604       1496.693604
    1831120.375000     561892.437500       1512.915894       1512.915894
    1830878.875000     562096.187500       1558.857788       1558.857788
    1830764.500000     562192.687500       1585.019409       1585.019409
    1830687.500000     562257.625000       1599.130371       1599.130371
    1830578.500000     562402.000000       1623.133179       1623.133179
    1830509.750000     562492.937500       1636.639282       1636.639282
    1830282.875000     562793.250000       1674.998779       1674.998779
    1830278.000000     562799.687500       1675.653931       1675.653931
    1830056.000000     563093.500000       1702.345703       1702.345703
    1829977.625000     563197.312500       1710.428101       1710.428101
    1829829.250000     563393.750000       1733.012939       1733.012939
    1829677.125000     563595.000000       1754.835083       1754.835083
    1829602.375000     563694.000000       1765.467651       1765.467651
    1829376.750000     563992.687500       1793.891479       1793.891479
    1829375.500000     563994.312500       1794.055420       1794.055420
    1829148.625000     564294.562500       1815.297974       1815.297974
    1829076.375000     564390.375000       1819.610229       1819.610229
    1828921.875000     564594.812500       1819.988037       1819.988037
    1828775.875000     564788.000000       1824.355957       1824.355957
    1828695.000000     564895.062500       1824.071167       1824.071167
    1828475.500000     565185.687500       1832.803101       1832.803101
    1828468.125000     565195.375000       1832.825684       1832.825684
    1828241.375000     565495.625000       1836.051392       1836.051392
    1828185.000000     565570.125000       1832.143799       1832.143799
    1828475.500000     565673.812500       1754.126709       1754.126709
    1828775.875000     565781.062500       1630.654663       1630.654663
    1828817.375000     565795.875000       1609.608032       1609.608032
    1829076.375000     565888.312500       1475.698975       1475.698975
    1829376.750000     565995.562500       1343.048584       1343.048584
    1829658.500000     566096.125000       1258.311279       1258.311279
    1829677.125000     566102.812500       1253.411987       1253.411987
    1829977.625000     566210.062500       1193.868774       1193.868774
    1830278.000000     566317.312500       1134.226929       1134.226929
    1830499.625000     566396.437500       1071.753906       1071.753906
    1830578.500000     566424.500000       1046.425049       1046.425049
    1830878.875000     566531.750000        928.260925        928.260925
    1831179.250000     566639.000000        817.737061        817.737061
    1831340.875000     566696.687500        766.938965        766.938965
    1831479.750000     566746.250000        726.857483        726.857483
    1831780.125000     566853.500000        667.799194        667.799194
    1832080.500000     566960.750000        618.890564        618.890564
    1832182.000000     566996.937500        603.343811        603.343811
    1832381.000000     567068.000000        570.289734        570.289734
    1832681.375000     567175.250000        524.260132        524.260132
    1832981.875000     567282.500000        478.278687        478.278687
    1833023.125000     567297.187500        472.075623        472.075623
    1833282.250000     567389.750000        439.917786        439.917786
    1833582.625000     567497.000000        424.323486        424.323486
    1833610.125000     567506.750000        423.375885        423.375885
    1833883.125000     567581.812500        415.423096        415.423096
    1833940.125000     567597.500000        414.522949        414.522949
    1834183.500000     567664.375000        411.640594        411.640594
    1834484.000000     567746.937500        406.563293        406.563293
    1834784.375000     567829.500000        404.344208        404.344208
    1835032.750000     567897.750000        404.675964        404.675964
    1835084.750000     567912.062500        404.984772        404.984772
    1835385.250000     567994.625000        408.917633        408.917633
    1835685.625000     568077.187500        443.807434        443.807434
    1835986.125000     568159.750000        485.778778        485.778778
    1836125.250000     568198.000000        496.131104        496.131104
    1836286.500000     568242.312500        506.480377        506.480377
    1836586.875000     568324.875000        511.145050        511.145050
    1836887.375000     568407.437500        514.414673        514.414673
    1837187.750000     568490.000000        517.565308        517.565308
    1837217.750000     568498.250000        517.909485        517.909485
    1837488.250000     568572.562500        521.564453        521.564453
    1837788.625000     568655.125000        525.318176        525.318176
    1838089.000000     568737.750000        533.169861        533.169861
    1838310.375000     568798.562500        540.338257        540.338257
    1838389.500000     568820.312500        542.842285        542.842285
    1838689.875000     568902.875000        539.678650        539.678650
    1838990.375000     568985.437500        536.293579        536.293579
    1839206.625000     569044.875000        538.019653        538.019653
    1839290.750000     569012.437500        538.765137        538.765137
    1839591.125000     568896.750000        541.064758        541.064758
    1839846.250000     568798.562500        544.244751        544.244751
    1839891.625000     568781.062500        545.072021        545.072021
    1840192.000000     568665.375000        553.801025        553.801025
    1840492.375000     568549.687500        561.304504        561.304504
    1840626.000000     568498.250000        565.683899        565.683899
    1840792.875000     568434.000000        570.790344        570.790344
    1841093.250000     568318.312500        579.392639        579.392639
    1841393.750000     568202.625000        588.669495        588.669495
    1841405.750000     568198.000000        589.098511        589.098511
    1841694.125000     568086.937500        599.886414        599.886414
    1841994.500000     567971.250000        612.551575        612.551575
    1842185.500000     567897.750000        619.878540        619.878540
    1842295.000000     567855.562500        622.947327        622.947327
    1842595.375000     567739.875000        629.669434        629.669434
    1842895.875000     567624.187500        634.543701        634.543701
    1842965.250000     567597.500000        635.370667        635.370667
    1843196.250000     567508.500000        639.940796        639.940796
    1843496.625000     567392.812500        644.933289        644.933289
    1843745.000000     567297.187500        649.764832        649.764832
    1843797.125000     567277.125000        651.227600        651.227600
    1844097.500000     567161.437500        661.230103        661.230103
    1844398.000000     567045.750000        672.913574        672.913574
    1844524.625000     566996.937500        678.201538        678.201538
    1844698.375000     566930.062500        686.099548        686.099548
    1844998.750000     566814.375000        701.114685        701.114685
    1845299.250000     566698.687500        716.387024        716.387024
    1845304.500000     566696.687500        716.659729        716.659729
    1845599.625000     566583.000000        731.729797        731.729797
    1845900.125000     566467.312500        745.785034        745.785034
    1846084.125000     566396.437500        753.618286        753.618286
    1846200.500000     566351.625000        758.317566        758.317566
    1846500.875000     566235.937500        769.735291        769.735291
    1846801.375000     566120.250000        779.912720        779.912720
    1846863.875000     566096.125000        781.783020        781.783020
    1847101.750000     566004.562500        788.517334        788.517334
    1847402.125000     565888.875000        796.957886        796.957886
    1847573.625000     565822.875000        801.316284        801.316284
    1847402.125000     565888.875000        801.316284        801.316284
    1847573.625000     565822.875000        801.316284        801.316284
