# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	07_EAST_MONT
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       -175.360703       -175.360703
    1832124.375000     554986.312500       -197.285751       -197.285751
    1832114.625000     555286.562500       -222.214676       -222.214676
    1832104.875000     555586.812500       -279.040375       -279.040375
    1832095.125000     555887.125000       -294.903931       -294.903931
    1832085.375000     556187.375000       -306.439758       -306.439758
    1832080.500000     556335.875000       -305.259949       -305.259949
    1832075.625000     556487.625000       -303.772430       -303.772430
    1832065.875000     556787.875000       -287.059204       -287.059204
    1832056.125000     557088.187500       -268.905060       -268.905060
    1832046.375000     557388.437500       -246.049835       -246.049835
    1832036.625000     557688.687500       -240.149399       -240.149399
    1832026.875000     557989.000000       -214.613632       -214.613632
    1832017.125000     558289.250000       -179.112015       -179.112015
    1832007.375000     558589.500000       -119.993484       -119.993484
    1831997.625000     558889.750000        -45.786423        -45.786423
    1831987.875000     559190.062500         21.171391         21.171391
    1831978.125000     559490.312500         87.817101         87.817101
    1831968.250000     559790.562500        155.563431        155.563431
    1831958.500000     560090.812500        216.895355        216.895355
    1831948.750000     560391.125000        263.186707        263.186707
    1831939.000000     560691.375000        305.221649        305.221649
    1831929.250000     560991.625000        332.691620        332.691620
    1831922.000000     561216.250000        345.627716        345.627716
    1831832.250000     561291.875000        347.677063        347.677063
    1831780.125000     561335.875000        343.749878        343.749878
    1831479.750000     561589.312500        304.554626        304.554626
    1831476.375000     561592.187500        304.245728        304.245728
    1831179.250000     561842.750000        274.637177        274.637177
    1831120.375000     561892.437500        270.049652        270.049652
    1830878.875000     562096.187500        239.388550        239.388550
    1830764.500000     562192.687500        222.415024        222.415024
    1830687.500000     562257.625000        209.777145        209.777145
    1830578.500000     562402.000000        186.474060        186.474060
    1830509.750000     562492.937500        169.305267        169.305267
    1830282.875000     562793.250000        105.307190        105.307190
    1830278.000000     562799.687500        103.839676        103.839676
    1830056.000000     563093.500000         40.674339         40.674339
    1829977.625000     563197.312500         25.618568         25.618568
    1829829.250000     563393.750000          5.314008          5.314008
    1829677.125000     563595.000000         -6.787533         -6.787533
    1829602.375000     563694.000000        -12.448682        -12.448682
    1829376.750000     563992.687500        -74.683426        -74.683426
    1829375.500000     563994.312500        -75.113625        -75.113625
    1829148.625000     564294.562500       -158.535858       -158.535858
    1829076.375000     564390.375000       -174.361588       -174.361588
    1828921.875000     564594.812500       -199.340195       -199.340195
    1828775.875000     564788.000000       -217.706223       -217.706223
    1828695.000000     564895.062500       -228.258865       -228.258865
    1828475.500000     565185.687500       -283.880035       -283.880035
    1828468.125000     565195.375000       -285.635193       -285.635193
    1828241.375000     565495.625000       -302.125549       -302.125549
    1828185.000000     565570.125000       -307.094574       -307.094574
    1828475.500000     565673.812500       -311.668732       -311.668732
    1828775.875000     565781.062500       -344.711823       -344.711823
    1828817.375000     565795.875000       -349.869537       -349.869537
    1829076.375000     565888.312500       -379.158600       -379.158600
    1829376.750000     565995.562500       -382.452148       -382.452148
    1829658.500000     566096.125000       -388.338013       -388.338013
    1829677.125000     566102.812500       -388.910217       -388.910217
    1829977.625000     566210.062500       -419.634674       -419.634674
    1830278.000000     566317.312500       -395.524475       -395.524475
    1830499.625000     566396.437500       -348.078979       -348.078979
    1830578.500000     566424.500000       -330.135834       -330.135834
    1830878.875000     566531.750000       -282.187439       -282.187439
    1831179.250000     566639.000000       -224.882492       -224.882492
    1831340.875000     566696.687500       -209.138718       -209.138718
    1831479.750000     566746.250000       -192.009079       -192.009079
    1831780.125000     566853.500000       -130.682556       -130.682556
    1832080.500000     566960.750000        -42.456173        -42.456173
    1832182.000000     566996.937500        -29.820015        -29.820015
    1832381.000000     567068.000000         -9.303603         -9.303603
    1832681.375000     567175.250000         28.546654         28.546654
    1832981.875000     567282.500000         84.319771         84.319771
    1833023.125000     567297.187500         92.128899         92.128899
    1833282.250000     567389.750000        140.492477        140.492477
    1833582.625000     567497.000000        179.394394        179.394394
    1833610.125000     567506.750000        181.433380        181.433380
    1833883.125000     567581.812500        199.654556        199.654556
    1833940.125000     567597.500000        203.332855        203.332855
    1834183.500000     567664.375000        220.576004        220.576004
    1834484.000000     567746.937500        254.447662        254.447662
    1834784.375000     567829.500000        281.925415        281.925415
    1835032.750000     567897.750000        290.132721        290.132721
    1835084.750000     567912.062500        291.452850        291.452850
    1835385.250000     567994.625000        294.517487        294.517487
    1835685.625000     568077.187500        309.357452        309.357452
    1835986.125000     568159.750000        341.708923        341.708923
    1836125.250000     568198.000000        353.012939        353.012939
    1836286.500000     568242.312500        362.664612        362.664612
    1836586.875000     568324.875000        354.459473        354.459473
    1836887.375000     568407.437500        340.773804        340.773804
    1837187.750000     568490.000000        330.605225        330.605225
    1837217.750000     568498.250000        329.572479        329.572479
    1837488.250000     568572.562500        320.957703        320.957703
    1837788.625000     568655.125000        313.706696        313.706696
    1838089.000000     568737.750000        307.584534        307.584534
    1838310.375000     568798.562500        303.931335        303.931335
    1838389.500000     568820.312500        302.814789        302.814789
    1838689.875000     568902.875000        298.974030        298.974030
    1838990.375000     568985.437500        294.430573        294.430573
    1839206.625000     569044.875000        290.101898        290.101898
    1839290.750000     569012.437500        289.458801        289.458801
    1839591.125000     568896.750000        286.488892        286.488892
    1839846.250000     568798.562500        282.656708        282.656708
    1839891.625000     568781.062500        281.958313        281.958313
    1840192.000000     568665.375000        275.552856        275.552856
    1840492.375000     568549.687500        265.792145        265.792145
    1840626.000000     568498.250000        260.958893        260.958893
    1840792.875000     568434.000000        254.996658        254.996658
    1841093.250000     568318.312500        241.959320        241.959320
    1841393.750000     568202.625000        232.273636        232.273636
    1841405.750000     568198.000000        231.868896        231.868896
    1841694.125000     568086.937500        222.403488        222.403488
    1841994.500000     567971.250000        214.298874        214.298874
    1842185.500000     567897.750000        210.782776        210.782776
    1842295.000000     567855.562500        208.530914        208.530914
    1842595.375000     567739.875000        204.479019        204.479019
    1842895.875000     567624.187500        201.780991        201.780991
    1842965.250000     567597.500000        201.592606        201.592606
    1843196.250000     567508.500000        201.511566        201.511566
    1843496.625000     567392.812500        201.903412        201.903412
    1843745.000000     567297.187500        202.240891        202.240891
    1843797.125000     567277.125000        202.337738        202.337738
    1844097.500000     567161.437500        203.273178        203.273178
    1844398.000000     567045.750000        204.250702        204.250702
    1844524.625000     566996.937500        204.684525        204.684525
    1844698.375000     566930.062500        205.106842        205.106842
    1844998.750000     566814.375000        206.123871        206.123871
    1845299.250000     566698.687500        207.616135        207.616135
    1845304.500000     566696.687500        207.578278        207.578278
    1845599.625000     566583.000000        205.256912        205.256912
    1845900.125000     566467.312500        197.037018        197.037018
    1846084.125000     566396.437500        188.889847        188.889847
    1846200.500000     566351.625000        184.265152        184.265152
    1846500.875000     566235.937500        173.285690        173.285690
    1846801.375000     566120.250000        167.303711        167.303711
    1846863.875000     566096.125000        167.085831        167.085831
    1847101.750000     566004.562500        165.621399        165.621399
    1847402.125000     565888.875000        164.052673        164.052673
    1847573.625000     565822.875000        162.638641        162.638641
    1847402.125000     565888.875000        162.638641        162.638641
    1847573.625000     565822.875000        162.638641        162.638641
