# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	08_EAST_PLIO-PARIC
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       -232.482773       -232.482773
    1832124.375000     554986.312500       -258.357483       -258.357483
    1832114.625000     555286.562500       -282.228577       -282.228577
    1832104.875000     555586.812500       -285.983704       -285.983704
    1832095.125000     555887.125000       -296.471069       -296.471069
    1832085.375000     556187.375000       -307.402710       -307.402710
    1832080.500000     556335.875000       -307.848846       -307.848846
    1832075.625000     556487.625000       -308.035095       -308.035095
    1832065.875000     556787.875000       -288.022156       -288.022156
    1832056.125000     557088.187500       -269.868011       -269.868011
    1832046.375000     557388.437500       -247.012802       -247.012802
    1832036.625000     557688.687500       -241.597137       -241.597137
    1832026.875000     557989.000000       -219.986938       -219.986938
    1832017.125000     558289.250000       -183.290924       -183.290924
    1832007.375000     558589.500000       -134.071915       -134.071915
    1831997.625000     558889.750000        -95.509888        -95.509888
    1831987.875000     559190.062500        -58.731468        -58.731468
    1831978.125000     559490.312500        -20.145361        -20.145361
    1831968.250000     559790.562500         26.442894         26.442894
    1831958.500000     560090.812500         76.621170         76.621170
    1831948.750000     560391.125000        126.776482        126.776482
    1831939.000000     560691.375000        175.321136        175.321136
    1831929.250000     560991.625000        209.389862        209.389862
    1831922.000000     561216.250000        219.859467        219.859467
    1831832.250000     561291.875000        218.623550        218.623550
    1831780.125000     561335.875000        215.289139        215.289139
    1831479.750000     561589.312500        199.895508        199.895508
    1831476.375000     561592.187500        199.582153        199.582153
    1831179.250000     561842.750000        157.984772        157.984772
    1831120.375000     561892.437500        150.690872        150.690872
    1830878.875000     562096.187500        115.834717        115.834717
    1830764.500000     562192.687500         99.809120         99.809120
    1830687.500000     562257.625000         87.908432         87.908432
    1830578.500000     562402.000000         67.249374         67.249374
    1830509.750000     562492.937500         54.710907         54.710907
    1830282.875000     562793.250000         14.593334         14.593334
    1830278.000000     562799.687500         13.602095         13.602095
    1830056.000000     563093.500000        -28.955564        -28.955564
    1829977.625000     563197.312500        -44.921589        -44.921589
    1829829.250000     563393.750000        -74.513153        -74.513153
    1829677.125000     563595.000000       -110.402184       -110.402184
    1829602.375000     563694.000000       -127.597862       -127.597862
    1829376.750000     563992.687500       -178.011444       -178.011444
    1829375.500000     563994.312500       -178.282471       -178.282471
    1829148.625000     564294.562500       -223.671509       -223.671509
    1829076.375000     564390.375000       -234.746887       -234.746887
    1828921.875000     564594.812500       -258.015503       -258.015503
    1828775.875000     564788.000000       -273.200195       -273.200195
    1828695.000000     564895.062500       -278.216034       -278.216034
    1828475.500000     565185.687500       -295.460297       -295.460297
    1828468.125000     565195.375000       -296.194275       -296.194275
    1828241.375000     565495.625000       -307.123169       -307.123169
    1828185.000000     565570.125000       -312.050964       -312.050964
    1828475.500000     565673.812500       -313.700470       -313.700470
    1828775.875000     565781.062500       -344.711823       -344.711823
    1830878.875000     566531.750000       -282.187439       -282.187439
    1831179.250000     566639.000000       -244.784744       -244.784744
    1831340.875000     566696.687500       -219.629379       -219.629379
    1831479.750000     566746.250000       -192.009079       -192.009079
    1831780.125000     566853.500000       -151.940735       -151.940735
    1832080.500000     566960.750000       -118.972618       -118.972618
    1832182.000000     566996.937500       -104.878021       -104.878021
    1832381.000000     567068.000000        -77.140205        -77.140205
    1832681.375000     567175.250000        -33.938850        -33.938850
    1832981.875000     567282.500000          6.235187          6.235187
    1833023.125000     567297.187500         11.259457         11.259457
    1833282.250000     567389.750000         40.390228         40.390228
    1833582.625000     567497.000000         62.633095         62.633095
    1833610.125000     567506.750000         63.908302         63.908302
    1833883.125000     567581.812500         74.730499         74.730499
    1833940.125000     567597.500000         75.858597         75.858597
    1834183.500000     567664.375000         79.676216         79.676216
    1834484.000000     567746.937500         81.651138         81.651138
    1834784.375000     567829.500000         85.375793         85.375793
    1835032.750000     567897.750000         88.760986         88.760986
    1835084.750000     567912.062500         89.471596         89.471596
    1835385.250000     567994.625000         92.641510         92.641510
    1835685.625000     568077.187500         93.805809         93.805809
    1835986.125000     568159.750000         93.187317         93.187317
    1836125.250000     568198.000000         92.737717         92.737717
    1836286.500000     568242.312500         92.152374         92.152374
    1836586.875000     568324.875000         91.857033         91.857033
    1836887.375000     568407.437500         90.594666         90.594666
    1837187.750000     568490.000000         84.974388         84.974388
    1837217.750000     568498.250000         83.760010         83.760010
    1837488.250000     568572.562500         73.077042         73.077042
    1837788.625000     568655.125000         55.740929         55.740929
    1838089.000000     568737.750000         35.753738         35.753738
    1838310.375000     568798.562500         19.888456         19.888456
    1838389.500000     568820.312500         14.227792         14.227792
    1838689.875000     568902.875000         -6.542890         -6.542890
    1838990.375000     568985.437500        -27.912193        -27.912193
    1839206.625000     569044.875000        -43.318253        -43.318253
    1839290.750000     569012.437500        -50.218689        -50.218689
    1839591.125000     568896.750000        -76.179031        -76.179031
    1839846.250000     568798.562500        -99.000313        -99.000313
    1839891.625000     568781.062500       -102.900223       -102.900223
    1840192.000000     568665.375000       -128.386703       -128.386703
    1840492.375000     568549.687500       -151.353928       -151.353928
    1840626.000000     568498.250000       -161.240768       -161.240768
    1840792.875000     568434.000000       -173.217621       -173.217621
    1841093.250000     568318.312500       -194.050354       -194.050354
    1841393.750000     568202.625000       -212.153381       -212.153381
    1841405.750000     568198.000000       -212.785934       -212.785934
    1841694.125000     568086.937500       -227.166077       -227.166077
    1841994.500000     567971.250000       -241.513977       -241.513977
    1842185.500000     567897.750000       -250.888245       -250.888245
    1842295.000000     567855.562500       -255.981995       -255.981995
    1842595.375000     567739.875000       -268.704071       -268.704071
    1842895.875000     567624.187500       -278.584137       -278.584137
    1842965.250000     567597.500000       -280.249176       -280.249176
    1843196.250000     567508.500000       -285.489655       -285.489655
    1843496.625000     567392.812500       -290.858215       -290.858215
    1843745.000000     567297.187500       -293.765198       -293.765198
    1843797.125000     567277.125000       -294.321045       -294.321045
    1844097.500000     567161.437500       -297.995697       -297.995697
    1844398.000000     567045.750000       -301.761505       -301.761505
    1844524.625000     566996.937500       -302.826904       -302.826904
    1844698.375000     566930.062500       -304.185486       -304.185486
    1844998.750000     566814.375000       -307.156616       -307.156616
    1845299.250000     566698.687500       -310.656372       -310.656372
    1845304.500000     566696.687500       -310.712158       -310.712158
    1845599.625000     566583.000000       -314.757965       -314.757965
    1845900.125000     566467.312500       -319.774628       -319.774628
    1846084.125000     566396.437500       -321.776367       -321.776367
    1846200.500000     566351.625000       -323.345184       -323.345184
    1846500.875000     566235.937500       -326.413361       -326.413361
    1846801.375000     566120.250000       -328.307678       -328.307678
    1846863.875000     566096.125000       -328.020325       -328.020325
    1847101.750000     566004.562500       -328.275757       -328.275757
    1847402.125000     565888.875000       -322.762604       -322.762604
    1847573.625000     565822.875000       -327.163208       -327.163208
    1847402.125000     565888.875000       -327.163208       -327.163208
    1847573.625000     565822.875000       -327.163208       -327.163208
