# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	09_EAST_SURF
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1832133.875000     554696.000000       -232.506256       -232.506256
    1832124.375000     554986.312500       -258.941315       -258.941315
    1832114.625000     555286.562500       -282.682556       -282.682556
    1832104.875000     555586.812500       -286.307739       -286.307739
    1832095.125000     555887.125000       -300.471069       -300.471069
    1832085.375000     556187.375000       -311.402710       -311.402710
    1832080.500000     556335.875000       -310.241211       -310.241211
    1832075.625000     556487.625000       -308.772369       -308.772369
    1832065.875000     556787.875000       -292.022156       -292.022156
    1832056.125000     557088.187500       -273.868011       -273.868011
    1832046.375000     557388.437500       -251.012802       -251.012802
    1832036.625000     557688.687500       -245.093704       -245.093704
    1832026.875000     557989.000000       -226.910355       -226.910355
    1832017.125000     558289.250000       -214.140518       -214.140518
    1832007.375000     558589.500000       -208.554504       -208.554504
    1831997.625000     558889.750000       -205.932571       -205.932571
    1831987.875000     559190.062500       -203.497528       -203.497528
    1831978.125000     559490.312500       -200.031006       -200.031006
    1831968.250000     559790.562500       -197.416107       -197.416107
    1831958.500000     560090.812500       -194.395966       -194.395966
    1831948.750000     560391.125000       -187.056488       -187.056488
    1831939.000000     560691.375000       -176.659637       -176.659637
    1831929.250000     560991.625000       -184.573914       -184.573914
    1831922.000000     561216.250000       -192.079651       -192.079651
    1831832.250000     561291.875000       -194.558899       -194.558899
    1831780.125000     561335.875000       -196.975952       -196.975952
    1831479.750000     561589.312500       -209.071579       -209.071579
    1831476.375000     561592.187500       -209.190491       -209.190491
    1831179.250000     561842.750000       -214.153976       -214.153976
    1831120.375000     561892.437500       -214.975433       -214.975433
    1830878.875000     562096.187500       -216.338455       -216.338455
    1830764.500000     562192.687500       -215.477417       -215.477417
    1830687.500000     562257.625000       -215.335541       -215.335541
    1830578.500000     562402.000000       -216.429642       -216.429642
    1830509.750000     562492.937500       -218.823624       -218.823624
    1830282.875000     562793.250000       -232.642731       -232.642731
    1830278.000000     562799.687500       -232.887115       -232.887115
    1830056.000000     563093.500000       -244.188690       -244.188690
    1829977.625000     563197.312500       -247.337357       -247.337357
    1829829.250000     563393.750000       -250.267715       -250.267715
    1829677.125000     563595.000000       -251.142227       -251.142227
    1829602.375000     563694.000000       -252.099152       -252.099152
    1829376.750000     563992.687500       -264.921509       -264.921509
    1829375.500000     563994.312500       -264.970154       -264.970154
    1829148.625000     564294.562500       -272.129333       -272.129333
    1829076.375000     564390.375000       -278.825806       -278.825806
    1828921.875000     564594.812500       -290.484741       -290.484741
    1828775.875000     564788.000000       -280.765381       -280.765381
    1828695.000000     564895.062500       -279.023773       -279.023773
    1828475.500000     565185.687500       -295.556885       -295.556885
    1828468.125000     565195.375000       -296.383270       -296.383270
    1828241.375000     565495.625000       -307.123169       -307.123169
    1831479.750000     566746.250000       -192.009079       -192.009079
    1831780.125000     566853.500000       -152.697037       -152.697037
    1832080.500000     566960.750000       -157.763123       -157.763123
    1832182.000000     566996.937500       -165.804352       -165.804352
    1832381.000000     567068.000000       -180.109512       -180.109512
    1832681.375000     567175.250000       -208.146652       -208.146652
    1832981.875000     567282.500000       -235.735901       -235.735901
    1833023.125000     567297.187500       -239.065506       -239.065506
    1833282.250000     567389.750000       -251.001587       -251.001587
    1833582.625000     567497.000000       -260.780792       -260.780792
    1833610.125000     567506.750000       -260.844269       -260.844269
    1833883.125000     567581.812500       -262.607269       -262.607269
    1833940.125000     567597.500000       -264.196167       -264.196167
    1834183.500000     567664.375000       -271.683319       -271.683319
    1834484.000000     567746.937500       -270.127472       -270.127472
    1834784.375000     567829.500000       -277.051208       -277.051208
    1835032.750000     567897.750000       -298.545044       -298.545044
    1835084.750000     567912.062500       -302.018127       -302.018127
    1835385.250000     567994.625000       -308.259247       -308.259247
    1835685.625000     568077.187500       -305.879852       -305.879852
    1835986.125000     568159.750000       -303.928101       -303.928101
    1836125.250000     568198.000000       -303.119080       -303.119080
    1836286.500000     568242.312500       -301.396088       -301.396088
    1836586.875000     568324.875000       -314.920044       -314.920044
    1836887.375000     568407.437500       -320.063202       -320.063202
    1837187.750000     568490.000000       -318.268677       -318.268677
    1837217.750000     568498.250000       -320.141113       -320.141113
    1837488.250000     568572.562500       -339.625763       -339.625763
    1837788.625000     568655.125000       -338.069061       -338.069061
    1838089.000000     568737.750000       -313.731201       -313.731201
    1838310.375000     568798.562500       -293.473206       -293.473206
    1838389.500000     568820.312500       -288.964386       -288.964386
    1838689.875000     568902.875000       -292.854095       -292.854095
    1838990.375000     568985.437500       -294.530426       -294.530426
    1839206.625000     569044.875000       -296.568420       -296.568420
    1839290.750000     569012.437500       -298.544342       -298.544342
    1839591.125000     568896.750000       -301.784271       -301.784271
    1839846.250000     568798.562500       -304.352173       -304.352173
    1839891.625000     568781.062500       -308.687012       -308.687012
    1840192.000000     568665.375000       -336.709595       -336.709595
    1840492.375000     568549.687500       -363.850464       -363.850464
    1840626.000000     568498.250000       -382.206635       -382.206635
    1840792.875000     568434.000000       -403.859161       -403.859161
    1841093.250000     568318.312500       -429.156281       -429.156281
    1841393.750000     568202.625000       -448.875214       -448.875214
    1841405.750000     568198.000000       -449.369598       -449.369598
    1841694.125000     568086.937500       -446.740875       -446.740875
    1841994.500000     567971.250000       -458.792877       -458.792877
    1842185.500000     567897.750000       -472.336426       -472.336426
    1842295.000000     567855.562500       -472.160736       -472.160736
    1842595.375000     567739.875000       -459.068939       -459.068939
    1842895.875000     567624.187500       -465.592072       -465.592072
    1842965.250000     567597.500000       -463.982391       -463.982391
    1843196.250000     567508.500000       -456.940216       -456.940216
    1843496.625000     567392.812500       -462.249603       -462.249603
    1843745.000000     567297.187500       -458.975891       -458.975891
    1843797.125000     567277.125000       -462.106384       -462.106384
    1844097.500000     567161.437500       -486.290100       -486.290100
    1844398.000000     567045.750000       -508.644470       -508.644470
    1844524.625000     566996.937500       -515.423279       -515.423279
    1844698.375000     566930.062500       -511.438995       -511.438995
    1844998.750000     566814.375000       -510.552795       -510.552795
    1845299.250000     566698.687500       -498.128876       -498.128876
    1845304.500000     566696.687500       -497.940338       -497.940338
    1845599.625000     566583.000000       -480.717560       -480.717560
    1845900.125000     566467.312500       -440.283234       -440.283234
    1846084.125000     566396.437500       -413.856110       -413.856110
    1846200.500000     566351.625000       -399.544067       -399.544067
    1846500.875000     566235.937500       -376.843781       -376.843781
    1846801.375000     566120.250000       -360.737610       -360.737610
    1846863.875000     566096.125000       -355.521027       -355.521027
    1847101.750000     566004.562500       -337.721588       -337.721588
    1847402.125000     565888.875000       -322.762604       -322.762604
