# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	01_EAST_BSMT
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       3342.423096       3342.423096
    1825170.750000     561318.062500       3346.171143       3346.171143
    1825471.250000     561377.187500       3352.584717       3352.584717
    1825771.625000     561436.250000       3336.407715       3336.407715
    1826072.125000     561495.375000       3312.623047       3312.623047
    1826372.500000     561554.437500       3285.096680       3285.096680
    1826564.250000     561592.187500       3259.990479       3259.990479
    1826672.875000     561613.562500       3245.262695       3245.262695
    1826973.375000     561672.625000       3226.684814       3226.684814
    1827273.750000     561731.750000       3237.166016       3237.166016
    1827574.250000     561790.812500       3257.185059       3257.185059
    1827874.625000     561849.875000       3260.702881       3260.702881
    1828090.750000     561892.437500       3248.647705       3248.647705
    1828175.000000     561909.000000       3243.995117       3243.995117
    1828475.500000     561968.062500       3230.707031       3230.707031
    1828775.875000     562027.187500       3210.122803       3210.122803
    1829076.375000     562086.250000       3178.453613       3178.453613
    1829376.750000     562145.375000       3151.850586       3151.850586
    1829617.375000     562192.687500       3146.868896       3146.868896
    1829677.125000     562204.437500       3146.134766       3146.134766
    1829977.625000     562263.562500       3148.793945       3148.793945
    1830278.000000     562322.625000       3139.127197       3139.127197
    1830578.500000     562381.687500       3111.184082       3111.184082
    1830669.875000     562399.687500       3096.241455       3096.241455
    1830878.875000     562203.750000       3087.269775       3087.269775
    1830890.625000     562192.687500       3085.286865       3085.286865
    1831179.250000     561922.000000       3050.622070       3050.622070
    1831210.750000     561892.437500       3046.495117       3046.495117
    1831479.750000     561640.250000       3023.445557       3023.445557
    1831531.000000     561592.187500       3018.121094       3018.121094
    1831780.125000     561358.500000       2985.960449       2985.960449
    1831851.125000     561291.875000       2974.316162       2974.316162
    1831927.000000     561220.687500       2961.087158       2961.087158
    1832080.500000     561209.812500       2915.514404       2915.514404
    1832381.000000     561188.625000       2833.535889       2833.535889
    1832681.375000     561167.375000       2777.301758       2777.301758
    1832981.875000     561146.125000       2717.473877       2717.473877
    1833282.250000     561124.875000       2633.936523       2633.936523
    1833582.625000     561103.625000       2515.431152       2515.431152
    1833883.125000     561082.375000       2396.044434       2396.044434
    1834183.500000     561061.125000       2266.017334       2266.017334
    1834484.000000     561039.937500       2145.478271       2145.478271
    1834784.375000     561018.687500       2015.993164       2015.993164
    1835084.750000     560997.437500       1906.626465       1906.626465
    1835103.500000     560996.125000       1905.671753       1905.671753
    1835385.250000     561121.062500       1865.908081       1865.908081
    1835685.625000     561254.375000       1796.948730       1796.948730
    1835770.250000     561291.875000       1776.151611       1776.151611
