# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	02_EAST_VAQ
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       2949.145020       2949.145020
    1825170.750000     561318.062500       2954.618408       2954.618408
    1825471.250000     561377.187500       2964.661865       2964.661865
    1825771.625000     561436.250000       2948.926758       2948.926758
    1826072.125000     561495.375000       2925.370605       2925.370605
    1826372.500000     561554.437500       2899.272217       2899.272217
    1826564.250000     561592.187500       2875.036377       2875.036377
    1826672.875000     561613.562500       2860.478271       2860.478271
    1826973.375000     561672.625000       2841.277344       2841.277344
    1827273.750000     561731.750000       2849.023438       2849.023438
    1827574.250000     561790.812500       2865.744385       2865.744385
    1827874.625000     561849.875000       2868.674072       2868.674072
    1828090.750000     561892.437500       2861.403076       2861.403076
    1828175.000000     561909.000000       2860.221680       2860.221680
    1828475.500000     561968.062500       2872.405762       2872.405762
    1828775.875000     562027.187500       2882.218506       2882.218506
    1829076.375000     562086.250000       2871.108887       2871.108887
    1829376.750000     562145.375000       2858.947021       2858.947021
    1829617.375000     562192.687500       2873.448975       2873.448975
    1829677.125000     562204.437500       2878.075195       2878.075195
    1829977.625000     562263.562500       2915.250732       2915.250732
    1830278.000000     562322.625000       2931.500000       2931.500000
    1830578.500000     562381.687500       2915.642822       2915.642822
    1830669.875000     562399.687500       2905.310791       2905.310791
    1830878.875000     562203.750000       2894.816895       2894.816895
    1830890.625000     562192.687500       2892.788818       2892.788818
    1831179.250000     561922.000000       2859.414063       2859.414063
    1831210.750000     561892.437500       2855.460938       2855.460938
    1831479.750000     561640.250000       2834.147949       2834.147949
    1831531.000000     561592.187500       2828.819580       2828.819580
    1831780.125000     561358.500000       2797.822021       2797.822021
    1831851.125000     561291.875000       2789.401611       2789.401611
    1831927.000000     561220.687500       2777.738281       2777.738281
    1832080.500000     561209.812500       2743.129883       2743.129883
    1832381.000000     561188.625000       2676.207764       2676.207764
    1832681.375000     561167.375000       2613.893799       2613.893799
    1832981.875000     561146.125000       2539.354736       2539.354736
    1833282.250000     561124.875000       2422.273193       2422.273193
    1833582.625000     561103.625000       2279.449951       2279.449951
    1833883.125000     561082.375000       2145.944092       2145.944092
    1834183.500000     561061.125000       2051.537842       2051.537842
    1834484.000000     561039.937500       1972.170044       1972.170044
    1834784.375000     561018.687500       1901.323364       1901.323364
    1835084.750000     560997.437500       1835.934448       1835.934448
    1835103.500000     560996.125000       1832.936646       1832.936646
    1835385.250000     561121.062500       1759.873657       1759.873657
    1835685.625000     561254.375000       1722.109375       1722.109375
    1835770.250000     561291.875000       1711.620117       1711.620117
    1835986.125000     561387.625000       1689.397339       1689.397339
    1836286.500000     561520.937500       1684.765503       1684.765503
    1836447.000000     561592.187500       1687.579468       1687.579468
    1836586.875000     561654.187500       1684.514526       1684.514526
    1836887.375000     561787.500000       1655.608643       1655.608643
    1837123.875000     561892.437500       1631.822144       1631.822144
    1837187.750000     561920.812500       1623.346924       1623.346924
