# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	04_EAST_RELIZ
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       2831.632324       2831.632324
    1825170.750000     561318.062500       2826.647949       2826.647949
    1825471.250000     561377.187500       2792.923828       2792.923828
    1825771.625000     561436.250000       2759.758789       2759.758789
    1826072.125000     561495.375000       2747.048584       2747.048584
    1826372.500000     561554.437500       2745.614014       2745.614014
    1826564.250000     561592.187500       2736.164307       2736.164307
    1826672.875000     561613.562500       2730.546631       2730.546631
    1826973.375000     561672.625000       2714.841064       2714.841064
    1827273.750000     561731.750000       2699.359619       2699.359619
    1827574.250000     561790.812500       2694.088867       2694.088867
    1827874.625000     561849.875000       2677.794922       2677.794922
    1828090.750000     561892.437500       2662.596436       2662.596436
    1828175.000000     561909.000000       2656.802490       2656.802490
    1828475.500000     561968.062500       2646.924316       2646.924316
    1828775.875000     562027.187500       2644.026855       2644.026855
    1829076.375000     562086.250000       2640.158936       2640.158936
    1829376.750000     562145.375000       2636.325928       2636.325928
    1829617.375000     562192.687500       2634.795410       2634.795410
    1829677.125000     562204.437500       2634.361816       2634.361816
    1829977.625000     562263.562500       2633.809082       2633.809082
    1830278.000000     562322.625000       2632.677734       2632.677734
    1830578.500000     562381.687500       2618.892090       2618.892090
    1830669.875000     562399.687500       2608.657715       2608.657715
    1830878.875000     562203.750000       2601.682861       2601.682861
    1830890.625000     562192.687500       2600.675537       2600.675537
    1831179.250000     561922.000000       2568.841064       2568.841064
    1831210.750000     561892.437500       2564.423096       2564.423096
    1831479.750000     561640.250000       2535.689697       2535.689697
    1831531.000000     561592.187500       2526.834717       2526.834717
    1831780.125000     561358.500000       2446.031006       2446.031006
    1831851.125000     561291.875000       2415.610596       2415.610596
    1831927.000000     561220.687500       2385.305420       2385.305420
    1832080.500000     561209.812500       2334.938232       2334.938232
    1832381.000000     561188.625000       2236.598633       2236.598633
    1832681.375000     561167.375000       2140.219482       2140.219482
    1832981.875000     561146.125000       2062.943359       2062.943359
    1833282.250000     561124.875000       2000.615967       2000.615967
    1833582.625000     561103.625000       1937.573364       1937.573364
    1833883.125000     561082.375000       1878.700806       1878.700806
    1834183.500000     561061.125000       1832.409912       1832.409912
    1834484.000000     561039.937500       1786.774048       1786.774048
    1834784.375000     561018.687500       1736.813477       1736.813477
    1835084.750000     560997.437500       1689.752075       1689.752075
    1835103.500000     560996.125000       1688.129272       1688.129272
    1835385.250000     561121.062500       1641.895142       1641.895142
    1835685.625000     561254.375000       1608.919922       1608.919922
    1835770.250000     561291.875000       1599.755005       1599.755005
    1835986.125000     561387.625000       1578.654175       1578.654175
    1836286.500000     561520.937500       1563.375977       1563.375977
    1836447.000000     561592.187500       1560.554565       1560.554565
    1836586.875000     561654.187500       1556.095093       1556.095093
    1836887.375000     561787.500000       1553.917847       1553.917847
    1837123.875000     561892.437500       1557.148560       1557.148560
    1837187.750000     561920.812500       1554.830566       1554.830566
    1837488.250000     562054.062500       1560.508911       1560.508911
    1837788.625000     562187.375000       1574.119141       1574.119141
    1837800.625000     562192.687500       1573.738892       1573.738892
    1838089.000000     562320.625000       1564.077393       1564.077393
    1838389.500000     562453.937500       1556.487183       1556.487183
    1838402.000000     562459.500000       1555.198242       1555.198242
    1838406.375000     562492.937500       1550.661133       1550.661133
    1838444.875000     562793.250000       1425.226929       1425.226929
    1838483.500000     563093.500000       1282.231689       1282.231689
