# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	05_EAST_LUIS
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       2656.673828       2656.673828
    1825170.750000     561318.062500       2650.648926       2650.648926
    1825471.250000     561377.187500       2616.208008       2616.208008
    1825771.625000     561436.250000       2573.970703       2573.970703
    1826072.125000     561495.375000       2532.576660       2532.576660
    1826372.500000     561554.437500       2512.306641       2512.306641
    1826564.250000     561592.187500       2500.278809       2500.278809
    1826672.875000     561613.562500       2493.112549       2493.112549
    1826973.375000     561672.625000       2483.414795       2483.414795
    1827273.750000     561731.750000       2468.089600       2468.089600
    1827574.250000     561790.812500       2455.587158       2455.587158
    1827874.625000     561849.875000       2437.699463       2437.699463
    1828090.750000     561892.437500       2420.081787       2420.081787
    1828175.000000     561909.000000       2412.374512       2412.374512
    1828475.500000     561968.062500       2385.241699       2385.241699
    1828775.875000     562027.187500       2361.651855       2361.651855
    1829076.375000     562086.250000       2341.934326       2341.934326
    1829376.750000     562145.375000       2319.454590       2319.454590
    1829617.375000     562192.687500       2303.427979       2303.427979
    1829677.125000     562204.437500       2299.208252       2299.208252
    1829977.625000     562263.562500       2288.976318       2288.976318
    1830278.000000     562322.625000       2265.157959       2265.157959
    1830578.500000     562381.687500       2208.783691       2208.783691
    1830669.875000     562399.687500       2186.400146       2186.400146
    1830878.875000     562203.750000       2141.909180       2141.909180
    1830890.625000     562192.687500       2141.546631       2141.546631
    1831179.250000     561922.000000       2104.487305       2104.487305
    1831210.750000     561892.437500       2102.711426       2102.711426
    1831479.750000     561640.250000       2047.430664       2047.430664
    1831531.000000     561592.187500       2032.273804       2032.273804
    1831780.125000     561358.500000       1962.140869       1962.140869
    1831851.125000     561291.875000       1937.541870       1937.541870
    1831927.000000     561220.687500       1911.752563       1911.752563
    1832080.500000     561209.812500       1888.085571       1888.085571
    1832381.000000     561188.625000       1837.917358       1837.917358
    1832681.375000     561167.375000       1800.094849       1800.094849
    1832981.875000     561146.125000       1762.697998       1762.697998
    1833282.250000     561124.875000       1727.672485       1727.672485
    1833582.625000     561103.625000       1701.289917       1701.289917
    1833883.125000     561082.375000       1672.435791       1672.435791
    1834183.500000     561061.125000       1634.091309       1634.091309
    1834484.000000     561039.937500       1589.451538       1589.451538
    1834784.375000     561018.687500       1549.695313       1549.695313
    1835084.750000     560997.437500       1519.714233       1519.714233
    1836286.500000     561520.937500       1394.416016       1394.416016
    1836447.000000     561592.187500       1368.199829       1368.199829
    1836586.875000     561654.187500       1345.002686       1345.002686
    1836887.375000     561787.500000       1290.006470       1290.006470
    1837123.875000     561892.437500       1233.969482       1233.969482
    1837187.750000     561920.812500       1217.079956       1217.079956
    1837488.250000     562054.062500       1123.270020       1123.270020
    1837788.625000     562187.375000       1037.969360       1037.969360
    1837800.625000     562192.687500       1035.246338       1035.246338
    1838089.000000     562320.625000        979.672668        979.672668
    1838389.500000     562453.937500        939.929871        939.929871
    1838402.000000     562459.500000        938.806335        938.806335
    1838406.375000     562492.937500        935.762695        935.762695
    1838444.875000     562793.250000        922.057373        922.057373
    1838483.500000     563093.500000        927.544067        927.544067
    1838522.000000     563393.750000        948.917542        948.917542
    1838560.625000     563694.000000        974.374207        974.374207
