# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	05_EAST_LUIS_SEAL
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       2658.212891       2658.212891
    1825170.750000     561318.062500       2652.889893       2652.889893
    1825471.250000     561377.187500       2620.952148       2620.952148
    1825771.625000     561436.250000       2580.330322       2580.330322
    1826072.125000     561495.375000       2545.846191       2545.846191
    1826372.500000     561554.437500       2531.239258       2531.239258
    1826564.250000     561592.187500       2519.945557       2519.945557
    1826672.875000     561613.562500       2513.219238       2513.219238
    1826973.375000     561672.625000       2501.616211       2501.616211
    1827273.750000     561731.750000       2486.120850       2486.120850
    1827574.250000     561790.812500       2475.752686       2475.752686
    1827874.625000     561849.875000       2458.302246       2458.302246
    1828090.750000     561892.437500       2441.419189       2441.419189
    1828175.000000     561909.000000       2434.290039       2434.290039
    1828475.500000     561968.062500       2412.326904       2412.326904
    1828775.875000     562027.187500       2394.944336       2394.944336
    1829076.375000     562086.250000       2379.999268       2379.999268
    1829376.750000     562145.375000       2363.115479       2363.115479
    1829617.375000     562192.687500       2351.427002       2351.427002
    1829677.125000     562204.437500       2348.338135       2348.338135
    1829977.625000     562263.562500       2340.996582       2340.996582
    1830278.000000     562322.625000       2323.985596       2323.985596
    1830578.500000     562381.687500       2280.389648       2280.389648
    1830669.875000     562399.687500       2261.651855       2261.651855
    1830878.875000     562203.750000       2228.416260       2228.416260
    1830890.625000     562192.687500       2227.860107       2227.860107
    1831179.250000     561922.000000       2192.367188       2192.367188
    1831210.750000     561892.437500       2189.798828       2189.798828
    1831479.750000     561640.250000       2142.482178       2142.482178
    1831531.000000     561592.187500       2129.216064       2129.216064
    1831780.125000     561358.500000       2055.881104       2055.881104
    1831851.125000     561291.875000       2029.535400       2029.535400
    1831927.000000     561220.687500       2002.390381       2002.390381
    1832080.500000     561209.812500       1970.712402       1970.712402
    1832381.000000     561188.625000       1906.091553       1906.091553
    1832681.375000     561167.375000       1850.699097       1850.699097
    1832981.875000     561146.125000       1801.335327       1801.335327
    1833282.250000     561124.875000       1758.113159       1758.113159
    1833582.625000     561103.625000       1720.724976       1720.724976
    1833883.125000     561082.375000       1682.860107       1682.860107
    1834183.500000     561061.125000       1642.469727       1642.469727
    1834484.000000     561039.937500       1597.695801       1597.695801
    1834784.375000     561018.687500       1555.061279       1555.061279
    1835084.750000     560997.437500       1519.714233       1519.714233
    1835103.500000     560996.125000       1518.930786       1518.930786
    1835385.250000     561121.062500       1505.112061       1505.112061
    1835685.625000     561254.375000       1485.698364       1485.698364
    1835770.250000     561291.875000       1474.098633       1474.098633
    1835986.125000     561387.625000       1441.026733       1441.026733
    1836286.500000     561520.937500       1394.416016       1394.416016
    1836447.000000     561592.187500       1374.811890       1374.811890
    1836586.875000     561654.187500       1356.902466       1356.902466
    1836887.375000     561787.500000       1317.744385       1317.744385
    1837123.875000     561892.437500       1279.494995       1279.494995
    1837187.750000     561920.812500       1266.980713       1266.980713
    1837488.250000     562054.062500       1203.038330       1203.038330
    1837788.625000     562187.375000       1147.413696       1147.413696
    1837800.625000     562192.687500       1145.395020       1145.395020
    1838089.000000     562320.625000       1103.576294       1103.576294
    1838389.500000     562453.937500       1073.471191       1073.471191
    1838402.000000     562459.500000       1072.297729       1072.297729
    1838406.375000     562492.937500       1068.805908       1068.805908
    1838444.875000     562793.250000       1021.580444       1021.580444
    1838483.500000     563093.500000        982.522827        982.522827
    1838522.000000     563393.750000        955.525330        955.525330
    1838560.625000     563694.000000        974.374207        974.374207
    1838599.125000     563994.312500        994.265564        994.265564
    1838637.750000     564294.562500       1002.813110       1002.813110
