# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	05b_EAST_OilFieldKC_30PercFromLuis
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       2709.237305       2709.237305
    1825170.750000     561318.062500       2703.524658       2703.524658
    1825471.250000     561377.187500       2669.292480       2669.292480
    1825771.625000     561436.250000       2629.768311       2629.768311
    1826072.125000     561495.375000       2596.941162       2596.941162
    1826372.500000     561554.437500       2582.317871       2582.317871
    1826564.250000     561592.187500       2571.049072       2571.049072
    1826672.875000     561613.562500       2564.340820       2564.340820
    1826973.375000     561672.625000       2552.848877       2552.848877
    1827273.750000     561731.750000       2537.448975       2537.448975
    1827574.250000     561790.812500       2527.135742       2527.135742
    1827874.625000     561849.875000       2509.705811       2509.705811
    1828090.750000     561892.437500       2492.835205       2492.835205
    1828175.000000     561909.000000       2485.710693       2485.710693
    1828475.500000     561968.062500       2463.754395       2463.754395
    1828775.875000     562027.187500       2446.371094       2446.371094
    1829076.375000     562086.250000       2431.411133       2431.411133
    1829376.750000     562145.375000       2414.517578       2414.517578
    1829617.375000     562192.687500       2402.843750       2402.843750
    1829677.125000     562204.437500       2399.758789       2399.758789
    1829977.625000     562263.562500       2392.428955       2392.428955
    1830278.000000     562322.625000       2375.416992       2375.416992
    1830578.500000     562381.687500       2331.820313       2331.820313
    1830669.875000     562399.687500       2313.081787       2313.081787
    1830878.875000     562203.750000       2279.846436       2279.846436
    1830890.625000     562192.687500       2279.290283       2279.290283
    1831179.250000     561922.000000       2243.798096       2243.798096
    1831210.750000     561892.437500       2241.229980       2241.229980
    1831479.750000     561640.250000       2193.914063       2193.914063
    1831531.000000     561592.187500       2180.647705       2180.647705
    1831780.125000     561358.500000       2107.313721       2107.313721
    1831851.125000     561291.875000       2080.968018       2080.968018
    1831927.000000     561220.687500       2053.824219       2053.824219
    1832080.500000     561209.812500       2022.146606       2022.146606
    1832381.000000     561188.625000       1957.526367       1957.526367
    1832681.375000     561167.375000       1902.134521       1902.134521
    1832981.875000     561146.125000       1852.774414       1852.774414
    1833282.250000     561124.875000       1809.557495       1809.557495
    1833582.625000     561103.625000       1772.175171       1772.175171
    1833883.125000     561082.375000       1734.314209       1734.314209
    1834183.500000     561061.125000       1693.586182       1693.586182
    1834484.000000     561039.937500       1648.646851       1648.646851
    1834784.375000     561018.687500       1605.827148       1605.827148
    1835084.750000     560997.437500       1570.722778       1570.722778
    1835103.500000     560996.125000       1569.687744       1569.687744
    1835385.250000     561121.062500       1546.147095       1546.147095
    1835685.625000     561254.375000       1522.665649       1522.665649
    1835770.250000     561291.875000       1511.794189       1511.794189
    1835986.125000     561387.625000       1482.310669       1482.310669
    1836286.500000     561520.937500       1445.099609       1445.099609
    1836447.000000     561592.187500       1425.906494       1425.906494
    1836586.875000     561654.187500       1408.332397       1408.332397
    1836887.375000     561787.500000       1369.174561       1369.174561
    1837123.875000     561892.437500       1330.924438       1330.924438
    1837187.750000     561920.812500       1318.409790       1318.409790
    1837488.250000     562054.062500       1254.430054       1254.430054
    1837788.625000     562187.375000       1198.774536       1198.774536
    1837800.625000     562192.687500       1196.754761       1196.754761
    1838089.000000     562320.625000       1154.970215       1154.970215
    1838389.500000     562453.937500       1124.892212       1124.892212
    1838402.000000     562459.500000       1123.720215       1123.720215
    1838406.375000     562492.937500       1120.235840       1120.235840
    1838444.875000     562793.250000       1073.010010       1073.010010
    1838483.500000     563093.500000       1033.950439       1033.950439
    1838522.000000     563393.750000       1006.949951       1006.949951
    1838560.625000     563694.000000        998.272766        998.272766
    1838599.125000     563994.312500       1001.532410       1001.532410
    1838637.750000     564294.562500       1002.813110       1002.813110
