# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	06_EAST_MOHN
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       1363.346191       1363.346191
    1825170.750000     561318.062500       1362.885376       1362.885376
    1825471.250000     561377.187500       1358.685791       1358.685791
    1825771.625000     561436.250000       1347.804443       1347.804443
    1826072.125000     561495.375000       1337.487549       1337.487549
    1826372.500000     561554.437500       1331.230957       1331.230957
    1826564.250000     561592.187500       1321.404907       1321.404907
    1826672.875000     561613.562500       1314.898682       1314.898682
    1826973.375000     561672.625000       1303.810791       1303.810791
    1827273.750000     561731.750000       1287.356079       1287.356079
    1827574.250000     561790.812500       1268.484863       1268.484863
    1827874.625000     561849.875000       1241.827515       1241.827515
    1828090.750000     561892.437500       1220.663086       1220.663086
    1828175.000000     561909.000000       1212.433350       1212.433350
    1828475.500000     561968.062500       1173.847534       1173.847534
    1828775.875000     562027.187500       1133.677490       1133.677490
    1829076.375000     562086.250000       1095.621948       1095.621948
    1829376.750000     562145.375000       1066.831055       1066.831055
    1829617.375000     562192.687500       1041.433960       1041.433960
    1829677.125000     562204.437500       1035.132813       1035.132813
    1829977.625000     562263.562500       1011.623108       1011.623108
    1830278.000000     562322.625000        998.571472        998.571472
    1830578.500000     562381.687500        986.576477        986.576477
    1830669.875000     562399.687500        980.642761        980.642761
    1830878.875000     562203.750000        946.406189        946.406189
    1830890.625000     562192.687500        944.002258        944.002258
    1831179.250000     561922.000000        865.201843        865.201843
    1831210.750000     561892.437500        853.821106        853.821106
    1831479.750000     561640.250000        746.748779        746.748779
    1831531.000000     561592.187500        729.871216        729.871216
    1831780.125000     561358.500000        667.336731        667.336731
    1831851.125000     561291.875000        655.946960        655.946960
    1831927.000000     561220.687500        648.147156        648.147156
    1832080.500000     561209.812500        639.942627        639.942627
    1832381.000000     561188.625000        634.030334        634.030334
    1832681.375000     561167.375000        627.395203        627.395203
    1832981.875000     561146.125000        617.148376        617.148376
    1833282.250000     561124.875000        603.414978        603.414978
    1833582.625000     561103.625000        587.533264        587.533264
    1833883.125000     561082.375000        564.149780        564.149780
    1834183.500000     561061.125000        528.775146        528.775146
    1834484.000000     561039.937500        476.150787        476.150787
    1834784.375000     561018.687500        412.425476        412.425476
    1835084.750000     560997.437500        362.925232        362.925232
    1835103.500000     560996.125000        361.893860        361.893860
    1835385.250000     561121.062500        366.494110        366.494110
    1835685.625000     561254.375000        408.945251        408.945251
    1835770.250000     561291.875000        423.345703        423.345703
    1835986.125000     561387.625000        462.668091        462.668091
    1836286.500000     561520.937500        497.835327        497.835327
    1836447.000000     561592.187500        509.871155        509.871155
    1836586.875000     561654.187500        518.947632        518.947632
    1836887.375000     561787.500000        533.078735        533.078735
    1837123.875000     561892.437500        539.276001        539.276001
    1837187.750000     561920.812500        540.503601        540.503601
    1837488.250000     562054.062500        543.518127        543.518127
    1837788.625000     562187.375000        544.510681        544.510681
    1837800.625000     562192.687500        544.546448        544.546448
    1838089.000000     562320.625000        543.381226        543.381226
    1838389.500000     562453.937500        542.744019        542.744019
    1838402.000000     562459.500000        542.738647        542.738647
    1838406.375000     562492.937500        543.091492        543.091492
    1838444.875000     562793.250000        545.092163        545.092163
    1838483.500000     563093.500000        548.054382        548.054382
    1838522.000000     563393.750000        551.732788        551.732788
    1838560.625000     563694.000000        555.174438        555.174438
    1838599.125000     563994.312500        557.637878        557.637878
    1838637.750000     564294.562500        558.408386        558.408386
    1838676.250000     564594.812500        553.392517        553.392517
    1838689.875000     564700.875000        549.403381        549.403381
    1838714.875000     564895.062500        542.560242        542.560242
    1838753.375000     565195.375000        532.137207        532.137207
    1838792.000000     565495.625000        521.151917        521.151917
    1838830.500000     565795.875000        509.550232        509.550232
    1838869.125000     566096.125000        500.823883        500.823883
    1838907.625000     566396.437500        496.142487        496.142487
    1838946.250000     566696.687500        491.879974        491.879974
    1838984.750000     566996.937500        482.965607        482.965607
