# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	06_EAST_MOHN_SEAL
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       1971.657837       1971.657837
    1825170.750000     561318.062500       1967.941528       1967.941528
    1825471.250000     561377.187500       1949.026367       1949.026367
    1825771.625000     561436.250000       1920.722290       1920.722290
    1826072.125000     561495.375000       1894.671387       1894.671387
    1826372.500000     561554.437500       1881.957520       1881.957520
    1826564.250000     561592.187500       1870.349121       1870.349121
    1826672.875000     561613.562500       1863.204956       1863.204956
    1826973.375000     561672.625000       1853.863403       1853.863403
    1827273.750000     561731.750000       1837.504883       1837.504883
    1827574.250000     561790.812500       1822.148315       1822.148315
    1827874.625000     561849.875000       1800.016968       1800.016968
    1828090.750000     561892.437500       1779.953857       1779.953857
    1828175.000000     561909.000000       1771.694946       1771.694946
    1828475.500000     561968.062500       1739.433960       1739.433960
    1828775.875000     562027.187500       1708.590332       1708.590332
    1829076.375000     562086.250000       1680.088135       1680.088135
    1829376.750000     562145.375000       1654.501343       1654.501343
    1829617.375000     562192.687500       1633.931519       1633.931519
    1829677.125000     562204.437500       1628.698486       1628.698486
    1829977.625000     562263.562500       1612.035767       1612.035767
    1830278.000000     562322.625000       1593.390259       1593.390259
    1830578.500000     562381.687500       1558.356812       1558.356812
    1830669.875000     562399.687500       1543.864380       1543.864380
    1830878.875000     562203.750000       1504.274780       1504.274780
    1830890.625000     562192.687500       1502.932007       1502.932007
    1831179.250000     561922.000000       1445.837646       1445.837646
    1831210.750000     561892.437500       1439.452637       1439.452637
    1831479.750000     561640.250000       1359.211792       1359.211792
    1831531.000000     561592.187500       1343.231201       1343.231201
    1831780.125000     561358.500000       1276.855835       1276.855835
    1831851.125000     561291.875000       1258.610352       1258.610352
    1831927.000000     561220.687500       1241.496216       1241.496216
    1832080.500000     561209.812500       1225.318237       1225.318237
    1832381.000000     561188.625000       1196.222778       1196.222778
    1832681.375000     561167.375000       1173.412842       1173.412842
    1832981.875000     561146.125000       1149.043091       1149.043091
    1833282.250000     561124.875000       1124.237183       1124.237183
    1833582.625000     561103.625000       1102.889771       1102.889771
    1833883.125000     561082.375000       1076.654175       1076.654175
    1834183.500000     561061.125000       1039.773071       1039.773071
    1834484.000000     561039.937500        991.513794        991.513794
    1834784.375000     561018.687500        940.395691        940.395691
    1835084.750000     560997.437500        901.068237        901.068237
    1835103.500000     560996.125000        900.168579        900.168579
    1835385.250000     561121.062500        895.134888        895.134888
    1835685.625000     561254.375000        905.205505        905.205505
    1835770.250000     561291.875000        906.097595        906.097595
    1835986.125000     561387.625000        907.748169        907.748169
    1836286.500000     561520.937500        900.567871        900.567871
    1836447.000000     561592.187500        892.340515        892.340515
    1836586.875000     561654.187500        884.650330        884.650330
    1836887.375000     561787.500000        862.854187        862.854187
    1837123.875000     561892.437500        836.704651        836.704651
    1837187.750000     561920.812500        828.514282        828.514282
    1837488.250000     562054.062500        781.276367        781.276367
    1837788.625000     562187.375000        737.476074        737.476074
    1837800.625000     562192.687500        736.079834        736.079834
    1838089.000000     562320.625000        706.541565        706.541565
    1838389.500000     562453.937500        685.564026        685.564026
    1838402.000000     562459.500000        684.963623        684.963623
    1838406.375000     562492.937500        683.487000        683.487000
    1838444.875000     562793.250000        677.321167        677.321167
    1838483.500000     563093.500000        679.804504        679.804504
    1838522.000000     563393.750000        687.927246        687.927246
    1838560.625000     563694.000000        694.196472        694.196472
    1838599.125000     563994.312500        693.886597        693.886597
    1838637.750000     564294.562500        684.935120        684.935120
    1838676.250000     564594.812500        652.494690        652.494690
    1838689.875000     564700.875000        642.346436        642.346436
    1838714.875000     564895.062500        624.060547        624.060547
    1838753.375000     565195.375000        605.577332        605.577332
    1838792.000000     565495.625000        595.476013        595.476013
    1838830.500000     565795.875000        583.070618        583.070618
    1838869.125000     566096.125000        562.489746        562.489746
    1838907.625000     566396.437500        547.905273        547.905273
    1838946.250000     566696.687500        540.848328        540.848328
    1838984.750000     566996.937500        525.400452        525.400452
    1838990.375000     567040.250000        523.348267        523.348267
    1839023.250000     567297.187500        511.167206        511.167206
