# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	06b_EAST_OilFieldRes_700x747
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       2034.886230       2034.886230
    1825170.750000     561318.062500       2031.164185       2031.164185
    1825471.250000     561377.187500       2012.209595       2012.209595
    1825771.625000     561436.250000       1983.906738       1983.906738
    1826072.125000     561495.375000       1957.832275       1957.832275
    1826372.500000     561554.437500       1945.091064       1945.091064
    1826564.250000     561592.187500       1933.535156       1933.535156
    1826672.875000     561613.562500       1926.427734       1926.427734
    1826973.375000     561672.625000       1917.302002       1917.302002
    1827273.750000     561731.750000       1901.128784       1901.128784
    1827574.250000     561790.812500       1885.884888       1885.884888
    1827874.625000     561849.875000       1863.788696       1863.788696
    1828090.750000     561892.437500       1843.746948       1843.746948
    1828175.000000     561909.000000       1835.495972       1835.495972
    1828475.500000     561968.062500       1803.245361       1803.245361
    1828775.875000     562027.187500       1772.397827       1772.397827
    1829076.375000     562086.250000       1743.869019       1743.869019
    1829376.750000     562145.375000       1718.260376       1718.260376
    1829617.375000     562192.687500       1697.707886       1697.707886
    1829677.125000     562204.437500       1692.479614       1692.479614
    1829977.625000     562263.562500       1675.832397       1675.832397
    1830278.000000     562322.625000       1657.185425       1657.185425
    1830578.500000     562381.687500       1622.150513       1622.150513
    1830669.875000     562399.687500       1607.657593       1607.657593
    1830878.875000     562203.750000       1568.070679       1568.070679
    1830890.625000     562192.687500       1566.728149       1566.728149
    1831179.250000     561922.000000       1509.637451       1509.637451
    1831210.750000     561892.437500       1503.252808       1503.252808
    1831479.750000     561640.250000       1423.015503       1423.015503
    1831531.000000     561592.187500       1407.035400       1407.035400
    1831780.125000     561358.500000       1340.662231       1340.662231
    1831851.125000     561291.875000       1322.417725       1322.417725
    1831927.000000     561220.687500       1305.305420       1305.305420
    1832080.500000     561209.812500       1289.128418       1289.128418
    1832381.000000     561188.625000       1260.036133       1260.036133
    1832681.375000     561167.375000       1237.230591       1237.230591
    1832981.875000     561146.125000       1212.869263       1212.869263
    1833282.250000     561124.875000       1188.074341       1188.074341
    1833582.625000     561103.625000       1166.741943       1166.741943
    1833883.125000     561082.375000       1140.521606       1140.521606
    1834183.500000     561061.125000       1103.656128       1103.656128
    1834484.000000     561039.937500       1055.430786       1055.430786
    1834784.375000     561018.687500       1004.362244       1004.362244
    1835084.750000     560997.437500        965.046082        965.046082
    1835103.500000     560996.125000        964.144409        964.144409
    1835385.250000     561121.062500        959.052612        959.052612
    1835685.625000     561254.375000        969.058899        969.058899
    1835770.250000     561291.875000        969.845764        969.845764
    1835986.125000     561387.625000        971.339600        971.339600
    1836286.500000     561520.937500        964.272400        964.272400
    1836447.000000     561592.187500        956.118591        956.118591
    1836586.875000     561654.187500        948.430420        948.430420
    1836887.375000     561787.500000        926.637451        926.637451
    1837123.875000     561892.437500        900.488770        900.488770
    1837187.750000     561920.812500        892.298218        892.298218
    1837488.250000     562054.062500        844.988586        844.988586
    1837788.625000     562187.375000        801.125732        801.125732
    1837800.625000     562192.687500        799.727295        799.727295
    1838089.000000     562320.625000        770.251404        770.251404
    1838389.500000     562453.937500        749.332947        749.332947
    1838402.000000     562459.500000        748.735718        748.735718
    1838406.375000     562492.937500        747.273926        747.273926
    1838444.875000     562793.250000        741.107483        741.107483
    1838483.500000     563093.500000        743.589539        743.589539
    1838522.000000     563393.750000        751.709412        751.709412
    1838560.625000     563694.000000        757.978394        757.978394
    1838599.125000     563994.312500        757.671082        757.671082
    1838637.750000     564294.562500        748.717102        748.717102
    1838676.250000     564594.812500        716.273621        716.273621
    1838689.875000     564700.875000        706.124268        706.124268
    1838714.875000     564895.062500        687.836243        687.836243
    1838753.375000     565195.375000        669.349976        669.349976
    1838792.000000     565495.625000        659.246582        659.246582
    1838830.500000     565795.875000        646.840820        646.840820
    1838869.125000     566096.125000        626.259460        626.259460
    1838907.625000     566396.437500        611.672546        611.672546
    1838946.250000     566696.687500        604.614868        604.614868
    1838984.750000     566996.937500        589.167297        589.167297
    1838990.375000     567040.250000        587.114929        587.114929
    1839023.250000     567297.187500        574.933228        574.933228
    1839061.875000     567597.500000        564.693848        564.693848
