# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	07_EAST_MONT
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1825061.750000     561296.625000       -486.484863       -486.484863
    1825170.750000     561318.062500       -503.593353       -503.593353
    1825471.250000     561377.187500       -478.625031       -478.625031
    1825771.625000     561436.250000       -405.986908       -405.986908
    1826072.125000     561495.375000       -368.993042       -368.993042
    1826372.500000     561554.437500       -351.181549       -351.181549
    1826564.250000     561592.187500       -318.552490       -318.552490
    1826672.875000     561613.562500       -303.365936       -303.365936
    1826973.375000     561672.625000       -255.375671       -255.375671
    1827273.750000     561731.750000       -225.400101       -225.400101
    1827574.250000     561790.812500       -205.220856       -205.220856
    1827874.625000     561849.875000       -197.214737       -197.214737
    1828090.750000     561892.437500       -167.417099       -167.417099
    1828175.000000     561909.000000       -155.057373       -155.057373
    1828475.500000     561968.062500        -79.735161        -79.735161
    1828775.875000     562027.187500        -29.971518        -29.971518
    1829076.375000     562086.250000          3.023108          3.023108
    1829376.750000     562145.375000         33.800072         33.800072
    1829617.375000     562192.687500         73.011497         73.011497
    1829677.125000     562204.437500         82.029274         82.029274
    1829977.625000     562263.562500        129.453033        129.453033
    1830278.000000     562322.625000        165.409286        165.409286
    1830578.500000     562381.687500        188.867599        188.867599
    1830669.875000     562399.687500        191.389725        191.389725
    1830878.875000     562203.750000        227.869949        227.869949
    1830890.625000     562192.687500        229.764267        229.764267
    1831179.250000     561922.000000        269.214966        269.214966
    1831210.750000     561892.437500        273.738586        273.738586
    1831479.750000     561640.250000        301.439453        301.439453
    1831531.000000     561592.187500        308.611969        308.611969
    1831780.125000     561358.500000        342.436035        342.436035
    1831851.125000     561291.875000        348.171844        348.171844
    1831927.000000     561220.687500        346.011536        346.011536
    1832080.500000     561209.812500        349.081085        349.081085
    1832381.000000     561188.625000        326.739319        326.739319
    1832681.375000     561167.375000        303.868469        303.868469
    1832981.875000     561146.125000        290.820099        290.820099
    1833282.250000     561124.875000        283.753387        283.753387
    1833582.625000     561103.625000        279.037170        279.037170
    1833883.125000     561082.375000        280.457886        280.457886
    1834183.500000     561061.125000        282.639435        282.639435
    1834484.000000     561039.937500        288.192688        288.192688
    1834784.375000     561018.687500        298.909210        298.909210
    1835084.750000     560997.437500        307.524414        307.524414
    1835103.500000     560996.125000        307.645996        307.645996
    1835385.250000     561121.062500        310.461365        310.461365
    1835685.625000     561254.375000        306.710083        306.710083
    1835770.250000     561291.875000        305.749634        305.749634
    1835986.125000     561387.625000        303.062927        303.062927
    1836286.500000     561520.937500        307.163696        307.163696
    1836447.000000     561592.187500        313.337463        313.337463
    1836586.875000     561654.187500        318.134735        318.134735
    1836887.375000     561787.500000        336.640198        336.640198
    1837123.875000     561892.437500        359.192200        359.192200
    1837187.750000     561920.812500        365.004669        365.004669
    1837488.250000     562054.062500        382.683044        382.683044
    1837788.625000     562187.375000        396.597717        396.597717
    1837800.625000     562192.687500        396.978973        396.978973
    1838089.000000     562320.625000        405.664154        405.664154
    1838389.500000     562453.937500        412.842163        412.842163
