# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	08_EAST_PLIO-PARIC
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1826973.375000     561672.625000       -255.375671       -255.375671
    1827273.750000     561731.750000       -230.399841       -230.399841
    1827574.250000     561790.812500       -216.575668       -216.575668
    1827874.625000     561849.875000       -202.034637       -202.034637
    1828090.750000     561892.437500       -172.910385       -172.910385
    1828175.000000     561909.000000       -161.100174       -161.100174
    1828475.500000     561968.062500       -125.570854       -125.570854
    1828775.875000     562027.187500        -85.755043        -85.755043
    1829076.375000     562086.250000        -52.240353        -52.240353
    1829376.750000     562145.375000        -21.680496        -21.680496
    1829617.375000     562192.687500          5.006033          5.006033
    1829677.125000     562204.437500         11.171950         11.171950
    1829977.625000     562263.562500         33.377361         33.377361
    1830278.000000     562322.625000         51.896309         51.896309
    1830578.500000     562381.687500         69.133278         69.133278
    1830669.875000     562399.687500         72.718201         72.718201
    1830878.875000     562203.750000        106.641716        106.641716
    1830890.625000     562192.687500        108.508804        108.508804
    1831179.250000     561922.000000        152.039047        152.039047
    1831210.750000     561892.437500        157.286957        157.286957
    1831479.750000     561640.250000        196.069946        196.069946
    1831531.000000     561592.187500        202.048996        202.048996
    1831780.125000     561358.500000        215.048111        215.048111
    1831851.125000     561291.875000        219.659149        219.659149
    1831927.000000     561220.687500        220.370697        220.370697
    1832080.500000     561209.812500        228.786682        228.786682
    1832381.000000     561188.625000        240.362350        240.362350
    1832681.375000     561167.375000        245.213577        245.213577
    1832981.875000     561146.125000        249.584671        249.584671
    1833282.250000     561124.875000        253.991440        253.991440
    1833582.625000     561103.625000        252.793304        252.793304
    1833883.125000     561082.375000        252.649918        252.649918
    1834183.500000     561061.125000        254.100739        254.100739
    1834484.000000     561039.937500        255.038925        255.038925
    1834784.375000     561018.687500        257.444092        257.444092
    1835084.750000     560997.437500        258.517517        258.517517
    1835103.500000     560996.125000        258.709351        258.709351
    1835385.250000     561121.062500        260.357086        260.357086
    1835685.625000     561254.375000        261.264862        261.264862
    1835770.250000     561291.875000        262.275391        262.275391
    1835986.125000     561387.625000        259.662109        259.662109
    1836286.500000     561520.937500        258.295654        258.295654
    1836447.000000     561592.187500        256.520508        256.520508
    1836586.875000     561654.187500        254.626740        254.626740
    1836887.375000     561787.500000        250.507538        250.507538
    1837123.875000     561892.437500        246.310471        246.310471
    1837187.750000     561920.812500        244.775162        244.775162
    1837488.250000     562054.062500        235.828079        235.828079
    1837788.625000     562187.375000        224.774887        224.774887
    1837800.625000     562192.687500        224.295883        224.295883
    1838089.000000     562320.625000        215.063843        215.063843
    1838389.500000     562453.937500        206.410706        206.410706
    1838402.000000     562459.500000        206.052261        206.052261
    1838406.375000     562492.937500        204.757507        204.757507
    1838444.875000     562793.250000        192.695328        192.695328
    1838483.500000     563093.500000        179.174515        179.174515
    1838522.000000     563393.750000        160.990540        160.990540
    1838560.625000     563694.000000        138.822327        138.822327
    1838599.125000     563994.312500        116.461678        116.461678
    1838637.750000     564294.562500         92.623260         92.623260
    1838676.250000     564594.812500         66.591530         66.591530
    1838689.875000     564700.875000         57.101772         57.101772
    1838714.875000     564895.062500         39.635628         39.635628
    1838753.375000     565195.375000          9.652164          9.652164
    1838792.000000     565495.625000        -15.733549        -15.733549
    1838830.500000     565795.875000        -33.182236        -33.182236
    1838869.125000     566096.125000        -43.197590        -43.197590
    1838907.625000     566396.437500        -45.776638        -45.776638
    1838946.250000     566696.687500        -43.582794        -43.582794
    1838984.750000     566996.937500        -42.126846        -42.126846
    1838990.375000     567040.250000        -42.247066        -42.247066
    1839023.250000     567297.187500        -43.285954        -43.285954
    1839061.875000     567597.500000        -45.807110        -45.807110
    1839100.375000     567897.750000        -47.746899        -47.746899
    1839139.000000     568198.000000        -48.838158        -48.838158
    1839177.500000     568498.250000        -49.008362        -49.008362
    1839216.125000     568798.562500        -48.025356        -48.025356
    1839253.875000     569092.937500        -46.135025        -46.135025
    1839290.750000     569078.875000        -49.156227        -49.156227
    1839591.125000     568964.187500        -75.247032        -75.247032
    1839891.625000     568849.562500       -102.472244       -102.472244
    1840025.250000     568798.562500       -114.295959       -114.295959
    1840192.000000     568734.875000       -128.508667       -128.508667
    1840492.375000     568620.250000       -151.697311       -151.697311
    1840792.875000     568505.562500       -173.973633       -173.973633
    1840812.000000     568498.250000       -175.377594       -175.377594
    1841093.250000     568390.937500       -195.217743       -195.217743
    1841393.750000     568276.250000       -213.844696       -213.844696
    1841598.750000     568198.000000       -224.673294       -224.673294
    1841694.125000     568161.625000       -229.440582       -229.440582
    1841994.500000     568046.937500       -244.278976       -244.278976
    1842295.000000     567932.250000       -259.144073       -259.144073
    1842385.500000     567897.750000       -263.147278       -263.147278
    1842595.375000     567817.625000       -272.068634       -272.068634
    1842895.875000     567702.937500       -281.793091       -281.793091
    1843172.250000     567597.500000       -288.465424       -288.465424
    1843196.250000     567588.312500       -289.014465       -289.014465
    1843496.625000     567473.625000       -294.008331       -294.008331
    1843797.125000     567359.000000       -297.490112       -297.490112
    1843959.000000     567297.187500       -299.580048       -299.580048
    1844097.500000     567244.312500       -301.273834       -301.273834
    1844398.000000     567129.687500       -305.359680       -305.359680
    1844698.375000     567015.000000       -308.046265       -308.046265
    1844745.750000     566996.937500       -308.508575       -308.508575
    1844998.750000     566900.375000       -311.202911       -311.202911
    1845299.250000     566785.687500       -315.103607       -315.103607
    1845532.500000     566696.687500       -317.636780       -317.636780
    1845599.625000     566671.062500       -318.567719       -318.567719
    1845900.125000     566556.375000       -323.917084       -323.917084
    1846200.500000     566441.750000       -327.338379       -327.338379
    1846319.125000     566396.437500       -328.213531       -328.213531
    1846500.875000     566327.062500       -330.121216       -330.121216
    1846801.375000     566212.375000       -332.241791       -332.241791
    1847101.750000     566097.750000       -330.900360       -330.900360
    1847105.875000     566096.125000       -330.789185       -330.789185
    1847402.125000     565983.062500       -324.814819       -324.814819
    1847571.375000     565918.500000       -326.785492       -326.785492
