# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_E_SALINAS
# Data Access:	Top
# Event:	09_EAST_SURF
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	09_EAST_SURF
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1827273.750000     561731.750000       -230.399841       -230.399841
    1827574.250000     561790.812500       -220.256012       -220.256012
    1827874.625000     561849.875000       -221.525696       -221.525696
    1828090.750000     561892.437500       -222.428925       -222.428925
    1828175.000000     561909.000000       -222.916580       -222.916580
    1828475.500000     561968.062500       -221.328415       -221.328415
    1828775.875000     562027.187500       -211.304138       -211.304138
    1829076.375000     562086.250000       -204.201584       -204.201584
    1829376.750000     562145.375000       -202.413071       -202.413071
    1829617.375000     562192.687500       -203.954636       -203.954636
    1829677.125000     562204.437500       -204.550354       -204.550354
    1829977.625000     562263.562500       -206.433945       -206.433945
    1830278.000000     562322.625000       -210.520218       -210.520218
    1830578.500000     562381.687500       -215.830475       -215.830475
    1830669.875000     562399.687500       -219.212448       -219.212448
    1830878.875000     562203.750000       -219.069092       -219.069092
    1830890.625000     562192.687500       -218.919891       -218.919891
    1831179.250000     561922.000000       -216.701828       -216.701828
    1831210.750000     561892.437500       -216.306488       -216.306488
    1831479.750000     561640.250000       -210.979767       -210.979767
    1831531.000000     561592.187500       -209.559433       -209.559433
    1831780.125000     561358.500000       -198.225784       -198.225784
    1831851.125000     561291.875000       -194.564926       -194.564926
    1831927.000000     561220.687500       -192.218750       -192.218750
    1832080.500000     561209.812500       -191.536026       -191.536026
    1832381.000000     561188.625000       -192.640228       -192.640228
    1832681.375000     561167.375000       -192.716492       -192.716492
    1832981.875000     561146.125000       -187.810242       -187.810242
    1833282.250000     561124.875000       -182.341522       -182.341522
    1833582.625000     561103.625000       -171.911453       -171.911453
    1833883.125000     561082.375000       -164.298035       -164.298035
    1834183.500000     561061.125000       -174.769608       -174.769608
    1834484.000000     561039.937500       -179.256943       -179.256943
    1834784.375000     561018.687500       -164.989929       -164.989929
    1835084.750000     560997.437500       -155.859222       -155.859222
    1835103.500000     560996.125000       -155.629333       -155.629333
    1835385.250000     561121.062500       -152.759583       -152.759583
    1835685.625000     561254.375000       -164.604202       -164.604202
