# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_W_SALINAS
# Data Access:	Top
# Event:	Event_11
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	01_WEST_BSMT_EXTENT_700x747
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1785292.0000000000     607651.5000000000       1223.0319824219       1223.0319824219
    1785364.6250000000     607637.0000000000       1232.7846679688       1232.7846679688
    1785514.8750000000     607606.9375000000       1251.1411132813       1251.1411132813
    1785665.0000000000     607576.8750000000       1268.1077880859       1268.1077880859
    1785761.6250000000     607557.5625000000       1278.6583251953       1278.6583251953
    1785815.2500000000     607545.1875000000       1284.9813232422       1284.9813232422
    1785868.7500000000     607532.8750000000       1291.4306640625       1291.4306640625
    1785965.5000000000     607510.5625000000       1303.0961914063       1303.0961914063
    1786115.7500000000     607475.8750000000       1322.9171142578       1322.9171142578
    1786265.8750000000     607441.2500000000       1343.4775390625       1343.4775390625
    1786416.1250000000     607406.5625000000       1364.2215576172       1364.2215576172
    1786519.3750000000     607382.7500000000       1378.7336425781       1378.7336425781
    1786566.3750000000     607371.8750000000       1386.0844726563       1386.0844726563
    1786716.5000000000     607337.2500000000       1409.0622558594       1409.0622558594
    1786866.7500000000     607302.5625000000       1432.1669921875       1432.1669921875
    1787017.0000000000     607267.8750000000       1456.4235839844       1456.4235839844
    1787167.1250000000     607233.2500000000       1479.3942871094       1479.3942871094
    1787170.0000000000     607232.6250000000       1479.8054199219       1479.8054199219
    1787317.3750000000     607198.5625000000       1502.1843261719       1502.1843261719
    1787467.6250000000     607163.9375000000       1525.5072021484       1525.5072021484
    1787617.7500000000     607129.2500000000       1544.1647949219       1544.1647949219
    1787768.0000000000     607094.5625000000       1563.7896728516       1563.7896728516
    1787820.5000000000     607082.4375000000       1571.1124267578       1571.1124267578
    1787918.2500000000     607059.9375000000       1585.1901855469       1585.1901855469
    1788068.5000000000     607025.2500000000       1604.8693847656       1604.8693847656
    1788218.6250000000     606990.5625000000       1623.8375244141       1623.8375244141
    1788368.8750000000     606955.9375000000       1645.3684082031       1645.3684082031
    1788471.1250000000     606932.3125000000       1663.1456298828       1663.1456298828
    1788519.1250000000     606921.2500000000       1672.1499023438       1672.1499023438
    1788669.2500000000     606886.5625000000       1701.0825195313       1701.0825195313
    1788819.5000000000     606851.9375000000       1734.1331787109       1734.1331787109
    1788969.7500000000     606817.2500000000       1770.0194091797       1770.0194091797
    1789119.8750000000     606782.6250000000       1806.5695800781       1806.5695800781
    1789121.6250000000     606782.1875000000       1807.0407714844       1807.0407714844
    1789270.1250000000     606747.9375000000       1846.2933349609       1846.2933349609
    1789420.3750000000     606713.2500000000       1885.8635253906       1885.8635253906
    1789570.6250000000     606678.6250000000       1924.5024414063       1924.5024414063
    1789720.7500000000     606643.9375000000       1952.2484130859       1952.2484130859
    1789772.2500000000     606632.0625000000       1962.0067138672       1962.0067138672
    1789871.0000000000     606609.2500000000       1979.4080810547       1979.4080810547
