# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_W_SALINAS
# Data Access:	Top
# Event:	Event_11
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	02_WEST_VAQ_700x747
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1785292.0000000000     607651.5000000000        875.1660156250        875.1660156250
    1785364.6250000000     607637.0000000000        883.9723510742        883.9723510742
    1785514.8750000000     607606.9375000000        901.5416870117        901.5416870117
    1785665.0000000000     607576.8750000000        917.7507934570        917.7507934570
    1785761.6250000000     607557.5625000000        927.7858276367        927.7858276367
    1785815.2500000000     607545.1875000000        933.8037109375        933.8037109375
    1785868.7500000000     607532.8750000000        940.0603637695        940.0603637695
    1785965.5000000000     607510.5625000000        951.5607910156        951.5607910156
    1786115.7500000000     607475.8750000000        971.1111450195        971.1111450195
    1786265.8750000000     607441.2500000000        987.7262573242        987.7262573242
    1786416.1250000000     607406.5625000000       1007.4295043945       1007.4295043945
    1786519.3750000000     607382.7500000000       1021.3538208008       1021.3538208008
    1786566.3750000000     607371.8750000000       1028.5236816406       1028.5236816406
    1786716.5000000000     607337.2500000000       1051.1156005859       1051.1156005859
    1786866.7500000000     607302.5625000000       1074.6702880859       1074.6702880859
    1787017.0000000000     607267.8750000000       1100.2742919922       1100.2742919922
    1787167.1250000000     607233.2500000000       1123.3474121094       1123.3474121094
    1787170.0000000000     607232.6250000000       1123.7515869141       1123.7515869141
    1787317.3750000000     607198.5625000000       1145.9073486328       1145.9073486328
    1787467.6250000000     607163.9375000000       1169.3697509766       1169.3697509766
    1787617.7500000000     607129.2500000000       1188.9908447266       1188.9908447266
    1787768.0000000000     607094.5625000000       1209.6423339844       1209.6423339844
    1787820.5000000000     607082.4375000000       1217.0855712891       1217.0855712891
    1787918.2500000000     607059.9375000000       1231.4644775391       1231.4644775391
    1788068.5000000000     607025.2500000000       1248.1508789063       1248.1508789063
    1788218.6250000000     606990.5625000000       1264.4122314453       1264.4122314453
    1788368.8750000000     606955.9375000000       1283.4555664063       1283.4555664063
    1788471.1250000000     606932.3125000000       1299.8607177734       1299.8607177734
    1788519.1250000000     606921.2500000000       1308.2071533203       1308.2071533203
    1788669.2500000000     606886.5625000000       1334.9427490234       1334.9427490234
    1788819.5000000000     606851.9375000000       1370.7805175781       1370.7805175781
    1788969.7500000000     606817.2500000000       1413.2744140625       1413.2744140625
    1789119.8750000000     606782.6250000000       1456.1013183594       1456.1013183594
    1789121.6250000000     606782.1875000000       1456.7955322266       1456.7955322266
    1789270.1250000000     606747.9375000000       1511.9012451172       1511.9012451172
    1789420.3750000000     606713.2500000000       1543.4156494141       1543.4156494141
    1789570.6250000000     606678.6250000000       1572.3665771484       1572.3665771484
    1789720.7500000000     606643.9375000000       1613.9162597656       1613.9162597656
    1789772.2500000000     606632.0625000000       1623.6712646484       1623.6712646484
    1789871.0000000000     606609.2500000000       1641.7628173828       1641.7628173828
    1790021.2500000000     606574.6250000000       1667.4312744141       1667.4312744141
    1790171.3750000000     606539.9375000000       1691.8070068359       1691.8070068359
    1790321.6250000000     606505.3125000000       1703.3668212891       1703.3668212891
    1790422.8750000000     606481.9375000000       1695.9355468750       1695.9355468750
    1790471.8750000000     606470.6250000000       1692.3229980469       1692.3229980469
    1790622.0000000000     606435.9375000000       1692.5266113281       1692.5266113281
    1790645.7500000000     606430.5000000000       1694.6944580078       1694.6944580078
    1790735.5000000000     606331.8125000000       1735.3734130859       1735.3734130859
    1790772.2500000000     606291.3750000000       1751.2366943359       1751.2366943359
    1790872.0000000000     606181.6875000000       1793.9752197266       1793.9752197266
    1790922.5000000000     606126.1250000000       1812.4211425781       1812.4211425781
    1791008.5000000000     606031.5000000000       1841.5822753906       1841.5822753906
    1791072.6250000000     605960.9375000000       1860.5529785156       1860.5529785156
    1791145.0000000000     605881.3750000000       1882.2390136719       1882.2390136719
