# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_W_SALINAS
# Data Access:	Top
# Event:	Event_11
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	03_WEST_SAUC_700x747
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1785292.0000000000     607651.5000000000        825.6282958984        825.6282958984
    1785364.6250000000     607637.0000000000        834.4226684570        834.4226684570
    1785514.8750000000     607606.9375000000        851.9867553711        851.9867553711
    1785665.0000000000     607576.8750000000        868.2417602539        868.2417602539
    1785761.6250000000     607557.5625000000        878.3153686523        878.3153686523
    1785815.2500000000     607545.1875000000        884.3535766602        884.3535766602
    1785868.7500000000     607532.8750000000        890.6223754883        890.6223754883
    1785965.5000000000     607510.5625000000        902.1489868164        902.1489868164
    1786115.7500000000     607475.8750000000        921.7000732422        921.7000732422
    1786265.8750000000     607441.2500000000        938.3021240234        938.3021240234
    1786416.1250000000     607406.5625000000        957.9888916016        957.9888916016
    1786519.3750000000     607382.7500000000        971.8972778320        971.8972778320
    1786566.3750000000     607371.8750000000        979.3779907227        979.3779907227
    1786716.5000000000     607337.2500000000       1002.6630859375       1002.6630859375
    1786866.7500000000     607302.5625000000       1025.8532714844       1025.8532714844
    1787017.0000000000     607267.8750000000       1050.4283447266       1050.4283447266
    1787167.1250000000     607233.2500000000       1070.0694580078       1070.0694580078
    1787170.0000000000     607232.6250000000       1070.3918457031       1070.3918457031
    1787317.3750000000     607198.5625000000       1086.6311035156       1086.6311035156
    1787467.6250000000     607163.9375000000       1100.4277343750       1100.4277343750
    1787617.7500000000     607129.2500000000       1112.0527343750       1112.0527343750
    1787768.0000000000     607094.5625000000       1122.7073974609       1122.7073974609
    1787820.5000000000     607082.4375000000       1126.3566894531       1126.3566894531
    1787918.2500000000     607059.9375000000       1132.0466308594       1132.0466308594
    1788068.5000000000     607025.2500000000       1144.9028320313       1144.9028320313
    1788218.6250000000     606990.5625000000       1150.2010498047       1150.2010498047
    1788368.8750000000     606955.9375000000       1156.6243896484       1156.6243896484
    1788471.1250000000     606932.3125000000       1168.0960693359       1168.0960693359
    1788519.1250000000     606921.2500000000       1172.7602539063       1172.7602539063
    1788669.2500000000     606886.5625000000       1188.3088378906       1188.3088378906
    1788819.5000000000     606851.9375000000       1203.0360107422       1203.0360107422
    1788969.7500000000     606817.2500000000       1216.7866210938       1216.7866210938
    1789119.8750000000     606782.6250000000       1233.6397705078       1233.6397705078
    1789121.6250000000     606782.1875000000       1233.7952880859       1233.7952880859
    1789270.1250000000     606747.9375000000       1246.2003173828       1246.2003173828
    1789420.3750000000     606713.2500000000       1258.0375976563       1258.0375976563
    1789570.6250000000     606678.6250000000       1266.9631347656       1266.9631347656
    1789720.7500000000     606643.9375000000       1274.9703369141       1274.9703369141
    1789772.2500000000     606632.0625000000       1277.4365234375       1277.4365234375
    1789871.0000000000     606609.2500000000       1282.7341308594       1282.7341308594
    1790021.2500000000     606574.6250000000       1298.7078857422       1298.7078857422
    1790171.3750000000     606539.9375000000       1321.5063476563       1321.5063476563
    1790321.6250000000     606505.3125000000       1341.2581787109       1341.2581787109
    1790422.8750000000     606481.9375000000       1348.7150878906       1348.7150878906
    1790471.8750000000     606470.6250000000       1352.2438964844       1352.2438964844
    1790622.0000000000     606435.9375000000       1358.5184326172       1358.5184326172
    1790645.7500000000     606430.5000000000       1359.6859130859       1359.6859130859
    1790735.5000000000     606331.8125000000       1372.5191650391       1372.5191650391
    1790772.2500000000     606291.3750000000       1377.0787353516       1377.0787353516
    1790872.0000000000     606181.6875000000       1387.3842773438       1387.3842773438
    1790922.5000000000     606126.1250000000       1392.1210937500       1392.1210937500
    1791008.5000000000     606031.5000000000       1406.0384521484       1406.0384521484
    1791072.6250000000     605960.9375000000       1419.5629882813       1419.5629882813
    1791145.0000000000     605881.3750000000       1433.4477539063       1433.4477539063
    1791222.8750000000     605795.6875000000       1444.1051025391       1444.1051025391
