# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_W_SALINAS
# Data Access:	Top
# Event:	Event_11
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	04_WEST_RELIZ_700x747
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1785292.0000000000     607651.5000000000        196.8578643799        196.8578643799
    1785364.6250000000     607637.0000000000        208.1861114502        208.1861114502
    1785514.8750000000     607606.9375000000        251.2968597412        251.2968597412
    1785665.0000000000     607576.8750000000        262.2914428711        262.2914428711
    1785761.6250000000     607557.5625000000        267.6339111328        267.6339111328
    1785815.2500000000     607545.1875000000        270.7879943848        270.7879943848
    1785868.7500000000     607532.8750000000        274.0957031250        274.0957031250
    1785965.5000000000     607510.5625000000        278.7794799805        278.7794799805
    1786115.7500000000     607475.8750000000        290.3450622559        290.3450622559
    1786265.8750000000     607441.2500000000        307.9796447754        307.9796447754
    1786416.1250000000     607406.5625000000        332.1099548340        332.1099548340
    1786519.3750000000     607382.7500000000        352.9075622559        352.9075622559
    1786566.3750000000     607371.8750000000        361.7564392090        361.7564392090
    1786716.5000000000     607337.2500000000        392.3530883789        392.3530883789
    1786866.7500000000     607302.5625000000        422.5562438965        422.5562438965
    1787017.0000000000     607267.8750000000        448.9575805664        448.9575805664
    1787167.1250000000     607233.2500000000        469.0261535645        469.0261535645
    1787170.0000000000     607232.6250000000        469.2658996582        469.2658996582
    1787317.3750000000     607198.5625000000        481.2215576172        481.2215576172
    1787467.6250000000     607163.9375000000        487.6141967773        487.6141967773
    1787617.7500000000     607129.2500000000        489.5212707520        489.5212707520
    1787768.0000000000     607094.5625000000        492.5026550293        492.5026550293
    1787820.5000000000     607082.4375000000        496.3644104004        496.3644104004
    1787918.2500000000     607059.9375000000        504.1050415039        504.1050415039
    1788068.5000000000     607025.2500000000        526.2963256836        526.2963256836
    1788218.6250000000     606990.5625000000        560.0955810547        560.0955810547
    1788368.8750000000     606955.9375000000        607.9629516602        607.9629516602
    1788471.1250000000     606932.3125000000        651.4258422852        651.4258422852
    1788519.1250000000     606921.2500000000        672.0365600586        672.0365600586
    1788669.2500000000     606886.5625000000        742.7025146484        742.7025146484
    1788819.5000000000     606851.9375000000        812.5376586914        812.5376586914
    1788969.7500000000     606817.2500000000        877.0639648438        877.0639648438
    1789119.8750000000     606782.6250000000        931.5742187500        931.5742187500
    1789121.6250000000     606782.1875000000        931.9974365234        931.9974365234
    1789270.1250000000     606747.9375000000        964.8056640625        964.8056640625
    1789420.3750000000     606713.2500000000        982.6558227539        982.6558227539
    1789570.6250000000     606678.6250000000        994.2822875977        994.2822875977
    1789720.7500000000     606643.9375000000       1005.0712890625       1005.0712890625
    1789772.2500000000     606632.0625000000       1010.2271728516       1010.2271728516
    1789871.0000000000     606609.2500000000       1019.9978027344       1019.9978027344
    1790021.2500000000     606574.6250000000       1043.5955810547       1043.5955810547
    1790171.3750000000     606539.9375000000       1077.6735839844       1077.6735839844
    1790321.6250000000     606505.3125000000       1112.8587646484       1112.8587646484
    1790422.8750000000     606481.9375000000       1147.1414794922       1147.1414794922
    1790471.8750000000     606470.6250000000       1163.7340087891       1163.7340087891
    1790622.0000000000     606435.9375000000       1184.8865966797       1184.8865966797
    1790645.7500000000     606430.5000000000       1185.8367919922       1185.8367919922
    1790735.5000000000     606331.8125000000       1193.8896484375       1193.8896484375
    1790772.2500000000     606291.3750000000       1191.7631835938       1191.7631835938
    1790872.0000000000     606181.6875000000       1198.2518310547       1198.2518310547
