# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_W_SALINAS
# Data Access:	Top
# Event:	Event_11
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	07_WEST_MONT_700x747
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1790772.2500000000     606291.3750000000       -143.4103546143       -143.4103546143
    1790872.0000000000     606181.6875000000       -157.9684295654       -157.9684295654
    1790922.5000000000     606126.1250000000       -167.1744995117       -167.1744995117
    1791008.5000000000     606031.5000000000       -184.4125976563       -184.4125976563
    1791072.6250000000     605960.9375000000       -202.6589355469       -202.6589355469
    1791145.0000000000     605881.3750000000       -223.7599792480       -223.7599792480
    1791222.8750000000     605795.6875000000       -254.5998992920       -254.5998992920
    1791281.5000000000     605731.2500000000       -277.5525512695       -277.5525512695
    1791373.1250000000     605630.4375000000       -329.9694213867       -329.9694213867
    1791417.8750000000     605581.1250000000       -360.1121826172       -360.1121826172
    1791523.3750000000     605465.1875000000       -426.4173278809       -426.4173278809
    1791554.3750000000     605431.0000000000       -450.9680480957       -450.9680480957
    1791673.5000000000     605300.0000000000       -522.2880859375       -522.2880859375
    1791690.8750000000     605280.8750000000       -527.0648803711       -527.0648803711
    1791823.7500000000     605134.7500000000       -529.6309204102       -529.6309204102
    1791827.3750000000     605130.7500000000       -528.4366455078       -528.4366455078
    1791963.8750000000     604980.6250000000       -466.5411987305       -466.5411987305
    1791974.0000000000     604969.5000000000       -454.1900024414       -454.1900024414
    1792100.3750000000     604830.4375000000       -331.3714904785       -331.3714904785
    1792124.1250000000     604804.2500000000       -327.5935363770       -327.5935363770
    1792236.8750000000     604680.3125000000       -309.1408996582       -309.1408996582
    1792274.3750000000     604639.0625000000       -289.3102111816       -289.3102111816
    1792373.3750000000     604530.1875000000       -237.2051544189       -237.2051544189
    1792424.6250000000     604473.8125000000       -230.3173370361       -230.3173370361
    1792509.7500000000     604380.0625000000       -218.9650573730       -218.9650573730
    1792574.7500000000     604308.5625000000       -212.5000610352       -212.5000610352
    1792646.2500000000     604229.9375000000       -205.6440429688       -205.6440429688
    1792725.0000000000     604143.3125000000       -198.6009521484       -198.6009521484
    1792782.7500000000     604079.8125000000       -193.7705230713       -193.7705230713
    1792875.2500000000     603978.1250000000       -188.3603057861       -188.3603057861
    1792919.2500000000     603929.6875000000       -185.4176788330       -185.4176788330
    1793025.5000000000     603812.8750000000       -180.0489196777       -180.0489196777
    1793055.7500000000     603779.5625000000       -178.5655059814       -178.5655059814
    1793175.6250000000     603647.6250000000       -173.9055633545       -173.9055633545
    1793192.2500000000     603629.3750000000       -171.8380584717       -171.8380584717
    1793325.8750000000     603482.4375000000       -171.2455596924       -171.2455596924
    1793328.7500000000     603479.2500000000       -171.4906768799       -171.4906768799
    1793465.2500000000     603329.1250000000       -169.9239959717       -169.9239959717
    1793476.1250000000     603317.1875000000       -169.8925323486       -169.8925323486
    1793601.6250000000     603179.0000000000       -170.1366271973       -170.1366271973
    1793626.2500000000     603151.9375000000       -179.2244110107       -179.2244110107
    1793738.1250000000     603028.8750000000       -217.6954040527       -217.6954040527
    1793776.5000000000     602986.6875000000       -215.7557373047       -215.7557373047
    1793874.6250000000     602878.7500000000       -216.4742584229       -216.4742584229
    1793926.7500000000     602821.5000000000       -233.2105255127       -233.2105255127
    1794011.1250000000     602728.6250000000       -249.6067504883       -249.6067504883
    1794076.8750000000     602656.2500000000       -255.6707611084       -255.6707611084
    1794147.6250000000     602578.5000000000       -261.0765686035       -261.0765686035
    1794227.1250000000     602491.0000000000       -266.3827209473       -266.3827209473
    1794284.1250000000     602428.3125000000       -270.6807250977       -270.6807250977
    1794377.3750000000     602325.7500000000       -264.1827392578       -264.1827392578
    1794420.6250000000     602278.1875000000       -257.8395080566       -257.8395080566
    1794527.5000000000     602160.5625000000       -236.9165802002       -236.9165802002
    1794557.1250000000     602128.0625000000       -230.9917907715       -230.9917907715
    1794677.7500000000     601995.3125000000       -206.7327117920       -206.7327117920
    1794693.5000000000     601977.9375000000       -208.8612976074       -208.8612976074
    1794828.0000000000     601830.0625000000       -223.4419708252       -223.4419708252
    1794830.0000000000     601827.8125000000       -224.1293640137       -224.1293640137
    1794966.5000000000     601677.6875000000       -235.7369384766       -235.7369384766
    1794978.2500000000     601664.8125000000       -235.5157012939       -235.5157012939
    1795103.0000000000     601527.5625000000       -243.5320434570       -243.5320434570
    1795128.3750000000     601499.6250000000       -253.4684753418       -253.4684753418
    1795239.5000000000     601377.4375000000       -337.0264892578       -337.0264892578
    1795278.6250000000     601334.3750000000       -367.8163757324       -367.8163757324
    1795376.0000000000     601227.2500000000       -430.7344055176       -430.7344055176
    1795428.8750000000     601169.1250000000       -438.1149597168       -438.1149597168
    1795512.5000000000     601077.1250000000       -435.7982177734       -435.7982177734
    1795579.0000000000     601003.9375000000       -436.5469360352       -436.5469360352
    1795649.0000000000     600927.0000000000       -442.9049072266       -442.9049072266
    1795729.2500000000     600838.6875000000       -454.2416381836       -454.2416381836
    1795785.3750000000     600776.8750000000       -458.3344421387       -458.3344421387
