# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_W_SALINAS
# Data Access:	Top
# Event:	Event_11
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	08_WEST_PARIC__700x747
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1792236.8750000000     604680.3125000000       -309.1408996582       -309.1408996582
    1792274.3750000000     604639.0625000000       -303.0622253418       -303.0622253418
    1792373.3750000000     604530.1875000000       -287.2051086426       -287.2051086426
    1792424.6250000000     604473.8125000000       -280.3173217773       -280.3173217773
    1792509.7500000000     604380.0625000000       -268.9650573730       -268.9650573730
    1792574.7500000000     604308.5625000000       -262.5000610352       -262.5000610352
    1792646.2500000000     604229.9375000000       -255.6440277100       -255.6440277100
    1792725.0000000000     604143.3125000000       -248.6009216309       -248.6009216309
    1792782.7500000000     604079.8125000000       -243.7705078125       -243.7705078125
    1792875.2500000000     603978.1250000000       -238.3602905273       -238.3602905273
    1792919.2500000000     603929.6875000000       -235.4176483154       -235.4176483154
    1793025.5000000000     603812.8750000000       -230.0488891602       -230.0488891602
    1793055.7500000000     603779.5625000000       -228.5654754639       -228.5654754639
    1793175.6250000000     603647.6250000000       -223.9055328369       -223.9055328369
    1793192.2500000000     603629.3750000000       -223.4130249023       -223.4130249023
    1793325.8750000000     603482.4375000000       -221.5437927246       -221.5437927246
    1793328.7500000000     603479.2500000000       -221.4906463623       -221.4906463623
    1793465.2500000000     603329.1250000000       -219.9239654541       -219.9239654541
    1793476.1250000000     603317.1875000000       -219.8925018311       -219.8925018311
    1793601.6250000000     603179.0000000000       -220.1365814209       -220.1365814209
    1793626.2500000000     603151.9375000000       -220.2115631104       -220.2115631104
    1793738.1250000000     603028.8750000000       -217.6954040527       -217.6954040527
    1806237.5000000000     579758.2500000000       -445.4309387207       -445.4309387207
    1806237.5000000000     579608.1250000000       -432.3278503418       -432.3278503418
    1806237.5000000000     579458.0000000000       -432.3476257324       -432.3476257324
    1806237.5000000000     579307.8750000000       -431.5394897461       -431.5394897461
    1806237.5000000000     579157.7500000000       -427.1841125488       -427.1841125488
    1806237.5000000000     579007.5625000000       -420.2147827148       -420.2147827148
    1806237.5000000000     578857.4375000000       -408.9270629883       -408.9270629883
    1806237.5000000000     578707.3125000000       -327.3186035156       -327.3186035156
    1806237.5000000000     578557.1875000000       -319.1889038086       -319.1889038086
    1806237.5000000000     578407.0625000000       -307.6795349121       -307.6795349121
    1806237.5000000000     578256.9375000000       -303.0143737793       -303.0143737793
    1806237.5000000000     578106.8125000000       -303.9285278320       -303.9285278320
    1806237.5000000000     577956.6875000000       -305.6354980469       -305.6354980469
    1806237.5000000000     577806.5000000000       -309.1227111816       -309.1227111816
    1806237.5000000000     577656.3750000000       -313.3415832520       -313.3415832520
    1806237.5000000000     577506.2500000000       -312.1585083008       -312.1585083008
    1806237.5000000000     577356.1250000000       -318.9024047852       -318.9024047852
    1806237.5000000000     577206.0000000000       -325.3712463379       -325.3712463379
    1806237.5000000000     577055.8750000000       -312.3997802734       -312.3997802734
    1806237.5000000000     576905.7500000000       -287.0307006836       -287.0307006836
    1806237.5000000000     576755.5625000000       -262.0731811523       -262.0731811523
    1806237.5000000000     576605.4375000000       -239.9226074219       -239.9226074219
    1806237.5000000000     576455.3125000000       -218.0267181396       -218.0267181396
    1806237.5000000000     576305.1875000000       -196.0582733154       -196.0582733154
    1806237.5000000000     576155.0625000000       -184.6622161865       -184.6622161865
    1806237.5000000000     576004.9375000000       -172.0695037842       -172.0695037842
    1806237.5000000000     575854.8125000000       -161.5180816650       -161.5180816650
    1806237.5000000000     575716.6250000000       -155.7452392578       -155.7452392578
    1806244.1250000000     575715.5625000000       -155.5912475586       -155.5912475586
    1806308.1250000000     575704.6875000000       -154.2112426758       -154.2112426758
    1806394.2500000000     575690.0625000000       -152.6225280762       -152.6225280762
    1806544.5000000000     575664.5625000000       -148.9656982422       -148.9656982422
    1806694.7500000000     575639.0625000000       -146.6218109131       -146.6218109131
    1806845.0000000000     575613.6250000000       -149.8011627197       -149.8011627197
    1806995.1250000000     575588.1250000000       -157.5682525635       -157.5682525635
    1807145.3750000000     575562.6250000000       -164.3137359619       -164.3137359619
    1807193.1250000000     575554.5000000000       -167.0322113037       -167.0322113037
    1807295.6250000000     575537.1250000000       -172.8957824707       -172.8957824707
    1807445.7500000000     575511.6875000000       -182.0358428955       -182.0358428955
    1807596.0000000000     575486.1875000000       -189.0384521484       -189.0384521484
    1807746.2500000000     575460.6875000000       -193.9911804199       -193.9911804199
    1807896.3750000000     575435.2500000000       -196.9062194824       -196.9062194824
    1808046.6250000000     575409.7500000000       -198.2204589844       -198.2204589844
    1808078.1250000000     575404.3750000000       -198.8881835938       -198.8881835938
    1808196.8750000000     575384.2500000000       -201.1684265137       -201.1684265137
    1808347.1250000000     575358.7500000000       -203.4308776855       -203.4308776855
    1808497.2500000000     575333.3125000000       -205.1464691162       -205.1464691162
    1808647.5000000000     575307.8125000000       -210.3817443848       -210.3817443848
    1808797.7500000000     575282.3125000000       -215.3942413330       -215.3942413330
    1808947.8750000000     575256.8750000000       -222.8709411621       -222.8709411621
    1808963.1250000000     575254.2500000000       -224.2864227295       -224.2864227295
    1809098.1250000000     575231.3750000000       -236.8348999023       -236.8348999023
    1809248.3750000000     575205.8750000000       -251.1178131104       -251.1178131104
    1809398.5000000000     575180.3750000000       -268.7866516113       -268.7866516113
    1809548.7500000000     575154.9375000000       -287.1938781738       -287.1938781738
    1809699.0000000000     575129.4375000000       -303.9794921875       -303.9794921875
    1809848.1250000000     575104.1250000000       -319.8547058105       -319.8547058105
    1809849.1250000000     575103.9375000000       -319.9648437500       -319.9648437500
    1809999.3750000000     575078.5000000000       -335.6964111328       -335.6964111328
    1810149.6250000000     575053.0000000000       -352.4497070313       -352.4497070313
    1810299.8750000000     575027.5000000000       -366.0028076172       -366.0028076172
    1810450.0000000000     575002.0000000000       -380.4283752441       -380.4283752441
    1810600.2500000000     574976.5625000000       -400.9163208008       -400.9163208008
    1810733.1250000000     574954.0000000000       -394.6924743652       -394.6924743652
    1810750.5000000000     574951.0625000000       -394.8437805176       -394.8437805176
    1810900.6250000000     574925.5625000000       -396.6956481934       -396.6956481934
    1811050.8750000000     574900.0625000000       -436.5910949707       -436.5910949707
