# Model:	C:/Users/tmenotti/Documents/STANFORD/RESEARCH/NEW_SALINAS/MODELS/PM2011/SALINAS/pm3d/02_W_SALINAS
# Data Access:	Top
# Event:	Event_11
# X, Y Unit:	meter
# Depth Unit:	meter
# Layer:	09_WEST_SURF_700x747
# Overlay:	Depth
# Overlay Unit:	meter
#
#
#                X                 Y                 Z             Value
    1791963.8750000000     604980.6250000000       -466.5411987305       -466.5411987305
    1791974.0000000000     604969.5000000000       -461.8233032227       -461.8233032227
    1792100.3750000000     604830.4375000000       -408.2962646484       -408.2962646484
    1792124.1250000000     604804.2500000000       -400.6366271973       -400.6366271973
    1792236.8750000000     604680.3125000000       -373.7360229492       -373.7360229492
    1792274.3750000000     604639.0625000000       -364.4601440430       -364.4601440430
    1792373.3750000000     604530.1875000000       -348.2546691895       -348.2546691895
    1792424.6250000000     604473.8125000000       -331.1518859863       -331.1518859863
    1792509.7500000000     604380.0625000000       -303.3911437988       -303.3911437988
    1792574.7500000000     604308.5625000000       -285.1000061035       -285.1000061035
    1792646.2500000000     604229.9375000000       -267.8330383301       -267.8330383301
    1792725.0000000000     604143.3125000000       -260.8245239258       -260.8245239258
    1792782.7500000000     604079.8125000000       -256.6824951172       -256.6824951172
    1792875.2500000000     603978.1250000000       -250.7884521484       -250.7884521484
    1792919.2500000000     603929.6875000000       -245.7073364258       -245.7073364258
    1793025.5000000000     603812.8750000000       -239.9284210205       -239.9284210205
    1793055.7500000000     603779.5625000000       -238.7200012207       -238.7200012207
    1793175.6250000000     603647.6250000000       -238.6249084473       -238.6249084473
    1793192.2500000000     603629.3750000000       -239.7775878906       -239.7775878906
    1793325.8750000000     603482.4375000000       -249.3063812256       -249.3063812256
    1793328.7500000000     603479.2500000000       -249.6477966309       -249.6477966309
    1793465.2500000000     603329.1250000000       -263.9315185547       -263.9315185547
    1793476.1250000000     603317.1875000000       -263.9548339844       -263.9548339844
    1793601.6250000000     603179.0000000000       -249.2409820557       -249.2409820557
    1793626.2500000000     603151.9375000000       -246.7858428955       -246.7858428955
    1793738.1250000000     603028.8750000000       -236.8397369385       -236.8397369385
    1793776.5000000000     602986.6875000000       -237.7563018799       -237.7563018799
    1793874.6250000000     602878.7500000000       -239.7778320313       -239.7778320313
    1793926.7500000000     602821.5000000000       -246.1454162598       -246.1454162598
